# DNRN, Anammox, Denitrificatio, Nitrite Oxidation, CaCO3 Dissolution 
2.589483666899891970e-02,0.000000000000000000e+00,5.244786453030931995e-06,1.037838250466850730e-03,2.681545309864129950e-02
4.884096766967230274e-03,1.026019714864258477e-03,4.100706680548562894e-04,2.056382660831052955e-04,5.055015185665163308e-03
2.580490048831439800e-02,0.000000000000000000e+00,6.078707920054488467e-05,1.025093196910856902e-03,2.668794039544614138e-02
