# DNRN, Anammox, Denitrificatio, Nitrite Oxidation, CaCO3 Dissolution 
3.918393554666212142e-02,5.454874703460283261e-03,4.784356115207951711e-03,3.132133960869268752e-03,4.154186297456183286e-02
6.217431444454301487e-02,2.333343584441251563e-04,3.967541716002672293e-04,4.630199461147028323e-03,6.616731170721383559e-02
3.184950824418639886e-02,1.371014268479502640e-01,2.143444439958711381e-02,9.650760256360878253e-03,1.299181353134759853e-01
1.307974043465011116e-01,5.265286326874053791e-02,4.229056659588052713e-03,9.081094619955149341e-03,1.447742190228795134e-01
9.184516514457866099e-02,4.459389168353250499e-02,4.571858831057297456e-03,6.379846232511629522e-03,9.564050441624696863e-02
6.342426421612236409e-02,1.362752541575645154e-02,2.328138178551996101e-03,4.303010001199589381e-03,6.794904954951408449e-02
1.694631514812592332e-01,2.850119482790634470e-02,5.535091697730132147e-03,1.123250583448790439e-02,1.791470886649368932e-01
1.009972425368583365e-01,4.775421856066516813e-02,7.443544823484215568e-03,7.082949193898699890e-03,1.162831638131626988e-01
6.558325176469918805e-02,3.559060748027904897e-02,6.605319750043006123e-03,4.915515232337410237e-03,7.749547314006441368e-02
6.566190446021238913e-02,1.848502580811301269e-02,3.681622063670232127e-03,4.649525977323321069e-03,7.154334703696717257e-02
4.661561505944903511e-02,4.659150659295718810e-02,4.443173997051128206e-03,3.676899218760316685e-03,6.390918697017085315e-02
2.641127139859680839e-02,3.593111671522544043e-02,3.132274389581274354e-03,2.330214015366161625e-03,4.271154457116149716e-02
2.082898549270959659e-02,3.281737573529286411e-02,4.959868772979218049e-03,2.170491703848448362e-03,4.067321499294378889e-02
4.228415500775153241e-02,2.994386975343893073e-02,3.826252752091793830e-03,3.308834978828620235e-03,5.246018051632998780e-02
3.183939883788895059e-02,2.912742181674931805e-02,3.395655702470445989e-03,2.457535375319508386e-03,4.345850374991946929e-02
3.451399245179834901e-02,5.608559517049489102e-03,2.778658389550403909e-03,2.466257262420610760e-03,3.721062472404355892e-02
