# DNRN, Anammox, Denitrification, Nitrite Oxidation, CaCO3 Dissolution 
5.376224866761283860e-02,2.552050728481550842e-03,2.959329804727051398e-04,1.896706919728826258e-03,5.563986330515752199e-02
6.944794541383729480e-02,2.917188992162422778e-02,1.904971150535679936e-03,2.559929383091197070e-03,7.119016509362068035e-02
5.429748525354512190e-02,2.363168625005040990e-02,3.802233397610684310e-03,2.204517847367388084e-03,4.955816384737513070e-02
5.780244338933727792e-03,5.385657524356112641e-03,3.697926485204265038e-03,9.913243964833735010e-04,1.165406134274547985e-03
2.465911224892811809e-02,2.630973524115530829e-02,4.686912357149184034e-03,1.356568694642178033e-03,1.070126147261932226e-02
3.038915149943812247e-02,4.173756487549851180e-02,3.830622209496579479e-03,1.170981424263984379e-03,2.779192375822204381e-02
4.581432134749883860e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.849798425338055187e-04,4.738887546852301076e-03
6.077256772198393400e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.314373631861979942e-04,6.287057424171722461e-03
