# anmx, denit, ox, red, nitox, dnrn, caco3 diss, other DIC
7.151282743715327683e+01,2.848717256284674804e+01,9.984354699667773048e+01,1.564530033221465388e-01,4.949698033941299968e+01,5.050301966058700742e+01,2.496107087621942000e+01,7.503892912378086066e+01
5.534714129276426320e+01,4.465285870723577943e+01,9.674037465089490695e+01,3.259625349105218728e+00,4.811753918725052159e+01,5.188246081274950683e+01,1.430895099635449519e+01,8.569104900364548882e+01
8.004302521321309882e+01,1.995697478678701486e+01,9.634672769341914034e+01,3.653272306580707784e+00,4.857767254753138531e+01,5.142232745246861469e+01,3.364157024310099775e+00,9.663584297568996817e+01
9.961389852304252202e+01,3.861014769575061290e-01,8.834989758373961877e+01,1.165010241625986254e+01,4.683313534272332390e+01,5.316686465727676136e+01,6.909929222704026645e-03,9.999309007077734179e+01
8.909716918297904442e+01,1.090283081702104084e+01,8.920219129304754802e+01,1.079780870695240225e+01,4.691307781321167170e+01,5.308692218678831409e+01,4.068085069166278434e-01,9.959319149308336705e+01
5.865502437732033769e+01,4.134497562267982573e+01,9.001393779934286954e+01,9.986062200656885324e+00,4.764856583947056379e+01,5.235143416052948595e+01,3.242217557532037997e+00,9.675778244246770043e+01
nan,nan,1.000000000000000000e+02,0.000000000000000000e+00,5.316748248458297610e+01,4.683251751541694574e+01,1.876945944702645619e+01,8.123054055297299669e+01
nan,nan,1.000000000000000000e+02,0.000000000000000000e+00,5.470386515739865985e+01,4.529613484260153200e+01,3.682451652125443786e+01,6.317548347874519976e+01
