# anmx, denit, ox, red, nitox, dnrn, caco3 diss, other DIC
9.847902885350714541e+01,1.520971146492976933e+00,9.649361611137052819e+01,3.506383888629373669e+00,5.009561945172097808e+01,4.990438054827900771e+01,4.140631356451041079e+00,9.585936864354904685e+01
9.721476116335037432e+01,2.785238836649627459e+00,9.996591824113399127e+01,3.408175886593910187e-02,5.424320684984733987e+01,4.575679315015253223e+01,2.679383201276164073e+01,7.320616798723848717e+01
4.866040363863174179e+01,5.133959636136826532e+01,1.358974023439521694e+01,8.641025976560486299e+01,3.976629602524144769e+00,9.602337039747602887e+01,8.333037553491466909e+00,9.166696244650871961e+01
4.180489501208329983e+01,5.819510498791662911e+01,7.066050584151605563e+01,2.933949415848424636e+01,3.757212220860022711e+01,6.242787779139961657e+01,5.902511254984579381e+01,4.097488745015419909e+01
6.077520077121670994e+01,3.922479922878332559e+01,7.264200590287600789e+01,2.735799409712409158e+01,4.230336266341702611e+01,5.769663733658296678e+01,1.529098570407240842e+01,8.470901429592717591e+01
7.706367312155767024e+01,2.293632687844225515e+01,9.616500943650262911e+01,3.834990563497281180e+00,4.768728001252745230e+01,5.231271998747253349e+01,3.724268083616498615e+01,6.275731916383494280e+01
6.771026651986252887e+01,3.228973348013749955e+01,9.378602537130390715e+01,6.213974628696329106e+00,4.768841176413353367e+01,5.231158823586649476e+01,2.828960191570346439e+01,7.171039808429590323e+01
6.288512859543973832e+01,3.711487140456040379e+01,7.921279666502478278e+01,2.078720333497527051e+01,3.966087969575742989e+01,6.033912030424266959e+01,3.776243682055706330e+01,6.223756317944305749e+01
7.830793687170222483e+01,2.169206312829807715e+01,8.573617321012086734e+01,1.426382678987919128e+01,4.526505027430347639e+01,5.473494972569664441e+01,3.364568927459304604e+01,6.635431072540684738e+01
8.178123309484483627e+01,1.821876690515517794e+01,9.465521570255084782e+01,5.344784297449280963e+00,4.821717160946652569e+01,5.178282839053337483e+01,3.756292783273007529e+01,6.243707216727008102e+01
4.028291977287978654e+01,5.971708022712017083e+01,6.025226309050855633e+01,3.974773690949135840e+01,3.533529872961392471e+01,6.466470127038621740e+01,1.672993023368339038e+01,8.327006976631652435e+01
5.981380172541493323e+01,4.018619827458518756e+01,7.558557682570959457e+01,2.441442317429029885e+01,4.287406426712993124e+01,5.712593573287015403e+01,3.338784527551123915e+01,6.661215472448876085e+01
7.220612243660490037e+01,2.779387756339545135e+01,8.333042658234116118e+01,1.666957341765855816e+01,4.562720101478206658e+01,5.437279898521797605e+01,3.593563955726432368e+01,6.406436044273594632e+01
7.094320384348205266e+01,2.905679615651811076e+01,8.852679539892309890e+01,1.147320460107721907e+01,4.689461420241417500e+01,5.310538579758586053e+01,3.583410668810319777e+01,6.416589331189668144e+01
6.473104792865285617e+01,3.526895207134701593e+01,8.179529859573270301e+01,1.820470140426735739e+01,4.504677142033191473e+01,5.495322857966814212e+01,3.567044046148704695e+01,6.432955953851285358e+01
9.617419844014909813e+01,3.825801559851009337e+00,9.643178425389054098e+01,3.568215746109230313e+00,4.967298714446680208e+01,5.032701285553319792e+01,3.709062118528145646e+01,6.290937881471838011e+01
