CRUISEID,EXPOCODE,STNNBR,CASTNO,SAMPNO,DATE,TIME,ISO_DateTime_UTC,LATITUDE,LONGITUDE,BOTTOM_DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDS_FLAG_W,CTDOXY,CTDOXY_FLAG_W,FLOR,FLOR_FLAG_W,NOx,NOx_FLAG_W,NOx_stdev,NOx_STD_FLAG_W,NITRIT_BabLab,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,NH4,NH4_FLAG_W,PH_TOT,PH_TOT_FLAG_W,PH_TEMP,TA,TA_FLAG_W
FK180624,33FA20180624,13,1,24,11/7/18,12:11:35,2018-07-11T19:11:35Z,13.99782,-113.99468,4000,8.565,28.3422,33.8617,2,190.225,2,0.1084,2,0.890897201,6,0.066943616,2,0,2,0.290574456,2,0.008436124,2,8.065298,2,25,2250.29,2
FK180624,33FA20180624,7,1,23,5/7/18,20:37:49,2018-07-06T03:37:49Z,14.00003,-108.00008,3000,61.263,27.1447,33.9042,2,177.69,2,0.0912,2,1.477992478,6,0.041170656,2,0.22,2,0.37,2,0.04,2,8.0203335,6,25,2250.56,2
FK180624,33FA20180624,9,9,22,9/7/18,21:55:54,2018-07-10T04:55:54Z,13.99971,-110.0007,3700,35.718,27.0074,33.9067,2,187.823,2,0.1106,2,0.57,2,-999,9,0.056279743,2,0.371525808,2,0.122742094,2,8.039008,2,25,2250.71,2
FK180624,33FA20180624,9,9,17,9/7/18,21:55:54,2018-07-10T04:55:54Z,13.99986,-110.00032,3700,104.905,15.7224,34.6607,2,2.347,2,0.0404,2,0.75,6,0.154524054,2,0.033519553,4,0.416903006,4,0.07123981,4,8.042504,4,25,2251.41,4
FK180624,33FA20180624,15,2,24,12/7/18,7:41:48,2018-07-12T14:41:48Z,14.0036,-115.98921,4250,10.367,27.2066,33.978,2,194.411,2,0.0588,2,0,2,-999,9,0,2,0.198328691,2,0.005140125,2,8.060116,2,25,2251.83,2
FK180624,33FA20180624,9,9,23,9/7/18,21:55:54,2018-07-10T04:55:54Z,13.99972,-110.00068,3700,26.604,27.2478,33.889,2,193.08,2,0.1405,2,0.4,2,-999,9,0.014897579,2,0.33749291,2,0.051368584,2,8.045696,2,25,2252.14,2
FK180624,33FA20180624,9,9,21,9/7/18,21:55:54,2018-07-10T04:55:54Z,13.9997,-110.0006,3700,44.462,26.6943,33.9372,2,182.919,2,0.0895,2,0.9,6,0.089838406,2,0.039726878,2,0.388542258,2,0.162646914,2,8.022572,2,25,2252.47,2
FK180624,33FA20180624,10,1,23,10/7/18,8:12:40,2018-07-10T15:12:40Z,13.99963,-111.00023,3200,26.639,27.3305,33.9513,2,194.425,2,1.0571,2,0,2,-999,9,0,2,0.287964004,2,0.073901686,2,8.04397,6,25,2252.71,3
FK180624,33FA20180624,13,1,23,11/7/18,12:11:35,2018-07-11T19:11:35Z,13.99806,-113.99486,4000,45,27.5553,33.9428,2,189.054,2,0.4897,2,1.071118803,6,0.00077581,2,0.103291244,2,0.368655884,2,0.054331606,2,8.039373,2,25,2252.71,2
FK180624,33FA20180624,13,1,22,11/7/18,12:11:35,2018-07-11T19:11:35Z,13.99808,-113.99486,4000,52.967,24.9964,34.1882,2,141.248,2,0.7128,2,6.731451686,6,0.33860896,2,1.043055268,2,0.853876185,2,0.104075052,2,7.9130665,6,25,2253.94,2
FK180624,33FA20180624,12,2,22,11/7/18,3:38:51,2018-07-11T10:38:51Z,13.99943,-112.99807,4000,54.967,26.6586,34.0485,2,163.658,2,1.2366,2,3.834750332,6,0.101340142,2,0.480327869,2,0.552147239,2,0.114141519,2,7.987227,2,25,2254.04,2
FK180624,33FA20180624,12,2,23,11/7/18,3:38:51,2018-07-11T10:38:51Z,13.99948,-112.99802,4000,40.239,28.0112,33.947,2,189.173,2,0.7298,2,0.156487765,2,-999,9,0.021311475,2,0.250976018,2,0.015589994,2,8.064854,2,25,2254.59,2
FK180624,33FA20180624,12,2,24,11/7/18,3:38:51,2018-07-11T10:38:51Z,13.99954,-112.99786,4000,20.84,28.4638,33.9549,2,189.084,2,0.1246,2,0,2,-999,9,0.013114754,2,0.250976018,2,0,2,8.070109,6,25,2254.83,2
FK180624,33FA20180624,8,1,22,6/7/18,6:09:54,2018-07-06T13:09:54Z,14.00089,-109.00142,3700,58.757,26.741,33.9315,2,190.035,2,0.0821,2,0.592782104,2,-999,9,0,2,0.29,2,0.08,2,8.032995,2,25,2255.19,2
FK180624,33FA20180624,9,1,22,6/7/18,11:54:22,2018-07-06T18:54:22Z,14.0008,-110.0005,3700,54.422,26.1326,33.9701,2,172.804,2,0.0746,2,2.930683716,2,-999,9,0.22,2,0.51,2,0.14,2,7.9925,2,25,2255.25,2
FK180624,33FA20180624,10,1,24,10/7/18,8:12:40,2018-07-10T15:12:40Z,13.99952,-111.00016,3200,4.062,27.5905,33.9559,2,193.494,2,0.8967,2,0,2,-999,9,0,2,0.282339708,2,0.102234643,2,8.048925,2,25,2256.15,2
FK180624,33FA20180624,10,1,21,10/7/18,8:12:40,2018-07-10T15:12:40Z,13.99974,-111.0002,3200,48.816,26.1168,33.9711,2,178.433,2,0.8496,2,1.354973663,6,0.179217965,2,0.063283208,6,0.417322835,6,0.123062707,6,8.003553,2,25,2256.56,6
FK180624,33FA20180624,10,1,22,10/7/18,8:12:40,2018-07-10T15:12:40Z,13.9997,-111.0002,3200,35.472,26.8532,33.9432,2,193.041,2,0.653,2,0,2,-999,9,0,2,0.310461192,2,0.072501506,2,8.041182,2,25,2257.58,2
FK180624,33FA20180624,19,1,18,13-07-2018,23:11:09,2018-07-14T06:11:09Z,17.99956,-119.00066,4000,110.353,15.676,34.2315,2,78.081,2,0.4609,2,12.86479701,6,7.682571641,2,0.061765334,2,1.709009513,2,0,2,7.603658,2,25,2258.06,2
FK180624,33FA20180624,16,1,18,12/7/18,16:51:10,2018-07-12T23:51:10Z,15.00162,-116.997,4138,100.88,16.1872,34.0379,2,122.641,2,0.5303,2,9.447663575,6,0.871438397,2,0.245392199,2,1.272421525,2,0.008590848,2,7.71196,2,25,2258.49,2
FK180624,33FA20180624,16,1,24,12/7/18,16:51:10,2018-07-12T23:51:10Z,15.00228,-116.99564,4138,2.639,27.8652,34.0595,2,190.935,2,0.0344,2,0,2,-999,9,0,2,0.235426009,2,0.010538409,2,8.067742,2,25,2259,2
FK180624,33FA20180624,9,1,21,6/7/18,11:54:22,2018-07-06T18:54:22Z,14.00081,-110.00051,3700,64.717,24.797,34.0739,2,149.628,2,0.0633,2,5.115049995,2,-999,9,0.35,2,0.73,2,0.16,2,7.927261,2,25,2260.67,2
FK180624,33FA20180624,19,1,20,13-07-2018,23:11:09,2018-07-14T06:11:09Z,17.99955,-119.00078,4000,90.737,16.7505,33.9801,2,157.98,2,0.8951,2,3.554590851,6,1.099261733,2,0.128018807,2,0.729714605,2,0.014215912,2,7.812985,2,25,2261.35,2
FK180624,33FA20180624,3,2,24,4/7/18,15:33:26,2018-07-04T22:33:26Z,13.99931,-104.00082,3000,11.301,27.7462,34.0231,2,190.921,2,0.0662,2,0,2,-999,9,0.00041806,2,0.233716475,2,0.005107304,2,8.056015,2,25,2262.6,2
FK180624,33FA20180624,13,1,21,11/7/18,12:11:35,2018-07-11T19:11:35Z,13.99813,-113.9949,4000,64.63,21.2977,34.4104,2,53.806,2,0.4886,2,21.41920096,6,0.427761643,2,0.455185262,2,1.802007808,2,0.000270948,2,7.660709,2,25,2264.17,2
FK180624,33FA20180624,5,1,22,5/7/18,5:34:12,2018-07-05T12:34:12Z,14.00016,-105.99968,3000,55.259,26.7376,34.0461,2,183.365,2,0.0987,2,0,2,-999,9,0.022457891,2,0.361666667,2,0,2,8.023576,2,25,2264.31,6
FK180624,33FA20180624,1,1,23,30-06-2018,6:30:11,2018-06-30T13:30:11Z,13.99288,-101.99532,3000,55.619,26.7477,34.1781,2,192.04,2,0.0882,2,0,2,-999,9,0.090754516,6,0.413793103,6,0.049525616,6,8.021337,2,25,2268.08,2
