,Depth,Date,Station,lat,lon,T,S,P,rho,sigma0,DIC,DIP,NO3,NO2,Nstar,TA,pH,O2
11,179.856,1643155200000000000,2,17.5,-107.5,12.1257,34.7625,181.01,1027.197050428295,26.39084233960284,2282.0,2.4672002349320357,20.638688546818308,1.5868425627978229,-14.349672649296439,2300.0,7.5316,0.76
12,190.085,1642204800000000000,1,17.5,-107.5,11.8253,34.7349,191.31,1027.2799443395193,26.426747832160117,2287.0,2.4670011500785116,19.47862421558834,0.16548556305097542,-16.927908622616872,2300.0,7.5189,1.01
13,190.135,1643155200000000000,2,17.5,-107.5,12.0259,34.7591,191.36,1027.2601839835688,26.407579431157274,2283.0,2.4670486052623257,20.559543073206292,1.5672757740465022,-14.445958836944415,2300.0,7.5313,0.74
14,200.066,1642204800000000000,1,17.5,-107.5,11.777,34.7337,201.36,1027.3333376981393,26.435215617180347,2288.0,2.4914914693066845,19.302400956277186,0.3698896804531181,-17.29157287217665,2300.0,7.5177,0.96
15,199.51,1643155200000000000,2,17.5,-107.5,11.9252,34.7587,200.8,1027.3216702790892,26.426683683921055,2284.0,2.4915197654829195,20.860068097442333,1.63532031748498,-14.4689278327994,2301.0,7.5305,0.74
16,210.165,1642204800000000000,1,17.5,-107.5,11.6608,34.7261,211.53,1027.3952558505284,26.451359040212992,2289.0,2.491341314293223,19.233104189917345,0.2920005696849799,-17.43635626908924,2301.0,7.5172,0.98
17,210.126,1643155200000000000,2,17.5,-107.5,11.6943,34.7495,211.49,1027.4068284792377,26.463290513566108,2286.0,2.4913132520230303,20.63447449670948,1.4113201896334313,-14.915217346025573,2302.0,7.529,0.74
18,220.085,1642204800000000000,1,17.5,-107.5,11.4097,34.7177,221.52,1027.4811776383083,26.491647575223396,2291.0,2.49113297909025,18.900589541345532,0.2627785363626825,-17.79475958773579,2302.0,7.5164,0.98
19,218.17,1643155200000000000,2,17.5,-107.5,11.5438,34.7426,219.59,1027.4664661904835,26.486184800448655,2287.0,2.4911686475758428,20.77926696640423,1.4890996936111693,-14.690331701198085,2302.0,7.5277,0.74
20,230.035,1642204800000000000,1,17.5,-107.5,11.3001,34.7105,231.54,1027.5411595151288,26.506441650018587,2293.0,2.5155679381673486,18.850826383577882,0.27249516713483773,-18.225765459964858,2302.0,7.5154,0.98
21,230.363,1643155200000000000,2,17.5,-107.5,11.4167,34.7308,231.87,1027.5364419513514,26.50084729482296,2289.0,2.5155794874922197,20.271787110968656,1.4208741806055802,-15.656610508301279,2303.0,7.5248,0.74
22,239.299,1642204800000000000,1,17.5,-107.5,11.1185,34.7004,240.87,1027.6091267085524,26.531892026386686,2295.0,2.5154015557480225,19.063668753845217,0.3795217362940089,-17.903234401829135,2303.0,7.5121,0.97
23,239.498,1643155200000000000,2,17.5,-107.5,11.3153,34.7252,241.07,1027.5924661124714,26.51537034173839,2291.0,2.515442338539532,20.338802287124267,1.3526763243589823,-15.655598805149266,2303.0,7.5227,0.74
24,249.635,1642204800000000000,1,17.5,-107.5,11.0265,34.6974,251.28,1027.6706162289063,26.54646001040851,2296.0,2.552321245428739,19.0527973562676,0.3600375394187442,-18.524305031173483,2304.0,7.5124,0.98
25,249.904,1643155200000000000,2,17.5,-107.5,11.2788,34.7222,251.55,1027.6440013726376,26.52000977245052,2292.0,2.5523873477589314,20.34751331401754,1.2650295221531707,-16.325654727972193,2304.0,7.523,0.74
26,260.069,1642204800000000000,1,17.5,-107.5,10.8797,34.6872,261.79,1027.737020794127,26.56514973796743,2298.0,2.5521563338033166,19.23643850517696,0.4573154323436101,-18.2407474033325,2304.0,7.5101,0.97
27,259.792,1643155200000000000,2,17.5,-107.5,11.1438,34.7175,261.51,1027.7103332573083,26.541217024127945,2293.0,2.5522226080869554,20.579728855080667,1.3719819236720447,-15.983850950638574,2304.0,7.5218,0.74
