,Station,cast,lat,lon,T,S,P,rho,sigma0,DIC,DIP,NO3,NO2,NH4,Nstar,TA,pH,pH_tot,pH_temp,O2,fluor
10,1.0,1.0,13.99382,-101.99672,12.5807,34.8143,178.919,1027.137869317764,26.34265619141661,2261.8139151975624,2.65059018202525,26.86363389885268,0.035384066818741955,0.0,-12.61042494673258,2302.24,7.594905123294833,7.438127,25.0,1.569,0.0321
11,1.0,1.0,13.99372,-101.99664,12.7557,34.8169,169.649,1027.0634488198582,26.309955672037404,2263.829785581534,2.5878307538390226,27.07038209951575,0.0,0.49324783155519974,-10.941662130353413,2304.18,7.592758606804951,7.438027,25.0,1.57,0.0343
12,1.0,1.0,13.9936,-101.99652,12.9081,34.8186,159.94,1026.9906968246705,26.280736795569737,2260.9522206834577,3.1860955772208097,27.13708465049312,0.215646086848447,0.0,-20.72479849819139,2302.94,7.594336900575109,7.441085,25.0,1.551,0.0366
13,1.0,1.0,13.99348,-101.99646,13.1529,34.8089,150.87,1026.8929544290922,26.22390621325917,2260.3805018164744,2.7666525724480246,22.639251836063988,1.2298378234585552,0.0,-17.497351499645852,2301.81,7.5910167715361325,7.440816,25.0,1.555,0.0426
14,1.0,1.0,13.99334,-101.99642,13.5146,34.8029,140.41,1026.7671369024858,26.14538752670728,2259.7858393028905,2.4993705581012606,22.63326061847562,1.229988524769021,0.0,-13.226679786375529,2301.51,7.588337699349236,7.442576,25.0,1.538,0.0463
15,1.0,1.0,13.99313,-101.9964,13.9377,34.7971,130.179,1026.628419771125,26.052964302716646,2256.7013151007786,2.6466573189214397,23.65224297064892,0.7022357467570636,0.0,-15.09203838533705,2299.57,7.58618691914433,7.445611,25.0,1.531,0.0534
16,1.0,1.0,13.99302,-101.99638,14.2125,34.7887,119.849,1026.5175034901786,25.98827223917715,2256.80733595382,2.4579883873593795,23.4305827345594,0.24266191774915338,0.0,-12.754569545441518,2300.68,7.5867022935534365,7.449242,25.0,1.507,0.0564
17,1.0,1.0,13.9929,-101.99626,15.8941,34.6753,99.399,1025.967218038613,25.53119388986579,2240.964585900023,2.448803623377998,22.981241101518922,0.0,0.0,-13.299616872529045,2287.65,7.574806539051856,7.458919,25.0,1.501,0.0422
18,1.0,1.0,13.99284,-101.99602,18.0299,34.5071,80.409,1025.245932332192,24.8960197636261,2200.1495969070047,1.982808529047962,16.9586847220638,0.012852985400316945,0.0,-11.853398757303273,2286.12,7.668869319047247,7.576165,25.0,33.602,0.0432
19,1.0,1.0,13.9929,-101.99558,22.2271,34.3949,65.897,1023.9849835508581,23.70244583337626,2089.481582386687,0.9960452168577558,4.065530818199967,0.8202830173224722,0.11701783417222221,-8.033891800029432,2283.29,7.884856213714318,7.846566,25.0,148.847,0.0793
20,1.0,1.0,13.99288,-101.99532,26.7477,34.1781,55.619,1022.4202186578322,22.185046798930216,1987.4252855333527,0.4047192098207928,-0.08876439877053362,0.08876439877053362,0.048439589804878926,-3.527067767327806,2268.08,7.9933470267852424,8.021337,25.0,192.04,0.0882
21,1.0,1.0,13.99251,-101.99474,28.7199,33.6936,2.621,1021.188357704933,21.177324677825936,1935.0624517957363,0.2917704493514132,0.0,0.0,0.0,-1.7683271896226116,2240.54,8.019308746437048,8.075141,25.0,196.581,0.0519
22,2.0,1.0,13.99813,-102.99569,4.6395,34.5576,1001.927,1031.9794722015738,27.384068395954728,2344.782237773297,3.4937951375216336,44.10552847809891,0.0,0.0,-8.895193722247226,2363.69,7.601258571339017,7.373963,25.0,7.397,0.0218
23,2.0,1.0,13.99828,-102.99571,5.5803,34.5521,797.984,1030.917033772039,27.267910997128638,2341.2852953207685,3.4009306599305633,40.619175576896694,0.0,0.0,-10.895714981992318,2353.64,7.574790106254612,7.354824,25.0,0.91,0.0227
24,2.0,1.0,13.99825,-102.99587,6.7525,34.5672,624.026,1029.9679802608723,27.126984880355167,2322.536632350319,3.3182386477047214,34.390901986126174,0.3616346810176172,0.0,-15.439281696131749,2336.82,7.571893477160279,7.360357,25.0,0.79,0.0209
25,2.0,1.0,13.9983,-102.99596,7.64,34.5849,525.667,1029.399815937473,27.015215727056102,2320.710150272259,3.2073616177919995,28.088918173807322,0.576328840179272,0.0,-19.7525388706854,2335.93,7.5669454723625575,7.363321,25.0,0.704,0.0241
26,2.0,1.0,13.9984,-102.99589,8.5493,34.5958,442.821,1028.887425865358,26.88616972838213,2317.7984791777285,3.050551454023438,28.5159408166773,0.167469300011203,0.0,-17.225413147686506,2333.77,7.560660680423499,7.365915,25.0,0.693,0.0245
27,2.0,1.0,13.99862,-102.99578,9.4397,34.6332,381.667,1028.4907062075306,26.77240827903279,2297.7893428478596,2.9630931943346774,24.20878554052382,0.39425641919041293,0.5814730764123468,-19.32497607322826,2317.15,7.5618004306370015,7.375728,25.0,0.629,0.0261
28,2.0,1.0,13.99864,-102.99583,10.3499,34.6903,329.555,1028.140112872241,26.66226075544364,2291.827919976051,2.883498899501058,20.50543933560129,0.8379551349214369,0.0,-21.8925879214942,2314.94,7.563530539560185,7.386716,25.0,0.6,0.0294
29,2.0,1.0,13.99855,-102.9961,11.3245,34.7393,268.115,1027.7225692319382,26.525057271077912,2283.1378110384953,2.6911405264428145,11.534455241027912,2.0149212316584464,0.0,-26.608871950398676,2311.03,7.568485520897834,7.401175,25.0,0.538,0.0331
30,2.0,1.0,13.99842,-102.99617,11.4784,34.7479,248.927,1027.6141223053376,26.502894189158724,2280.1147031121245,2.6269077617813297,9.332131346624827,1.8062908991907292,0.0,-27.99210194268572,2309.81,7.5731613823627795,7.406693,25.0,0.52,0.0329
31,2.0,1.0,13.99845,-102.99612,11.7739,34.7655,225.039,1027.4643437602606,26.46089426619278,2274.7122305585763,2.5251242573585326,22.95114394013686,1.28035387406782,0.02824739581111149,-13.242242907720732,2309.39,7.586437102154888,7.421745,25.0,0.528,0.0334
32,2.0,1.0,13.99863,-102.99603,11.9344,34.7763,215.873,1027.4007161989111,26.438767920020837,2271.4459689435535,2.6435859506196424,24.038859108813785,0.930950231900387,0.08659437023672019,-14.340971498963386,2306.19,7.58432481502056,7.421494,25.0,0.483,0.033
33,2.0,1.0,13.99867,-102.9961,12.2606,34.7903,188.114,1027.2237552100878,26.38651802515301,2266.9696072559486,2.601013839923862,24.215495029038358,0.9250840015918939,0.08655644746242802,-13.489085960689112,2304.14,7.588815918740002,7.428762,25.0,0.489,0.035
34,2.0,1.0,13.99871,-102.99627,12.4709,34.8069,174.346,1027.1335521812703,26.358235336351527,2268.9746238093353,2.536695307505808,24.44518416001351,0.7122064686198647,0.0,-12.52973429145955,2306.78,7.5885524014731285,7.430689,25.0,0.493,0.0345
35,2.0,1.0,13.99885,-102.99624,12.7364,34.8123,154.834,1026.9975977496752,26.309733285573884,2257.992585129463,2.558549615653988,21.31335696691207,1.8093845585147454,0.0,-14.91405232503699,2296.56,7.58809521694292,7.432937,25.0,0.463,0.0384
36,2.0,1.0,13.99904,-102.99612,12.9908,34.815,143.793,1026.899059881519,26.260896620472295,2270.2085265338774,2.515753996598331,21.645687388753284,1.9622804701296472,0.0,-13.744096086690364,2310.66,7.591052253292961,7.438521,25.0,0.431,0.0396
37,2.0,1.0,13.99909,-102.99607,13.4248,34.8045,133.156,1026.7546088194692,26.164705641148657,2262.8276368124816,2.5268697269185356,21.50493122440155,1.4138848177843921,0.0,-14.611099588510628,2305.76,7.593552878030092,7.446016,25.0,0.44,0.0444
38,2.0,1.0,13.99914,-102.99614,14.1243,34.792,120.373,1026.5411864414948,26.009446012302533,2257.540523270794,2.548923141671847,22.103530556485055,0.18393369939157436,0.0,-15.595306010872923,2301.55,7.587983734811172,7.449326,25.0,0.431,0.056
39,2.0,1.0,13.9991,-102.99624,15.6165,34.7403,99.148,1026.0791876699438,25.64381193952363,2250.1074779687738,2.517764169709486,10.736738293091395,0.07139438639853218,0.0,-26.57609403586185,2297.49,7.579757863354901,7.459995,25.0,0.428,0.0353
40,2.0,1.0,13.99918,-102.99618,16.9221,34.6687,90.653,1025.6835381159567,25.28747871544988,2232.6208490956237,2.3840724513251867,11.970799677211849,0.05532684389596246,0.0,-23.219032700095177,2288.07,7.588865087736797,7.485191,25.0,9.821,0.0323
41,2.0,1.0,13.99919,-102.99611,18.5414,34.5103,75.097,1025.0973653253075,24.77118812451272,2200.72500114142,1.9542679405524197,9.131023964762225,0.057371517076659946,0.0,-19.17989156699983,2286.37,7.661003891028857,7.575288,25.0,37.421,0.0428
42,2.0,1.0,13.99916,-102.99608,22.9041,34.4086,58.898,1023.7718964188065,23.51992706426313,2096.5950111791317,0.9854146050784951,5.0678418612084615,0.5925987313406539,0.04619954617376148,-7.159993542533044,2291.52,7.87642237711327,7.847825,25.0,139.125,0.0794
43,2.0,1.0,13.99926,-102.99612,27.0491,34.1903,41.289,1022.271440213844,22.096991064982035,1986.3864314230523,0.2788719921006156,0.0,0.0,0.0056636082866492595,-1.5562882653231997,2280.28,8.010575860995798,8.042646,25.0,199.053,0.0616
44,2.0,1.0,13.99916,-102.9962,28.2882,33.8198,4.581,1021.4337985105141,21.41449520760318,1948.3250716310743,0.23582926113397107,0.9985962883619038,0.0,0.0,0.12532811021836654,2249.97,8.016152565236956,8.065556,25.0,197.554,0.0507
