# DNRN, Anammox, Denitrificatio, Nitrite Oxidation, CaCO3 Dissolution 
6.931060761665985837e-01,2.207236882556718599e-02,5.873303536877867975e-04,2.193022591929512724e-02,2.623039987348513846e-01
8.599197219155139127e-01,1.428281921947916616e-02,1.216971911795924205e-03,2.690869295285533425e-02,9.767179400035326531e-02
9.536070014342059586e-01,4.384699751705581176e-03,3.457593908017570980e-03,3.196671902514688912e-02,6.583985880923101490e-03
9.575757402503506377e-01,0.000000000000000000e+00,1.589451241535959694e-02,2.652974733428900903e-02,0.000000000000000000e+00
9.569375623775289164e-01,8.620781035865895644e-05,1.545632814227734624e-02,2.751471807345041640e-02,5.183596387808281545e-06
8.668850071602053342e-01,1.469176142956939331e-02,6.391794083722083207e-03,2.700541964405694592e-02,8.502601768244501257e-02
7.978334311105560461e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.225488202001216415e-02,1.699116868694295346e-01
6.293182706539041105e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.653143647294674973e-02,3.441502928731474675e-01
