# anmx, denit, ox, red, nitox, dnrn, caco3 diss, other DIC
8.943713339535973361e+00,8.943713339535976914e+00,8.476337242848620335e+00,8.476337242848671849e+00,3.546443954485123395e+00,3.546443954485122951e+00,4.868907376111368812e+00,4.868907376111371477e+00
2.038475895225237267e+01,2.038475895225237267e+01,1.006182155313065429e+00,1.006182155313064541e+00,4.063203966351331964e+00,4.063203966351331964e+00,7.011340701029164180e+00,7.011340701029171285e+00
8.778274699257119451e+00,8.778274699257128333e+00,1.009521960471758106e+01,1.009521960471859892e+01,8.995309836374758561e+00,8.995309836374772772e+00,1.159373099654307460e+01,1.159373099654307282e+01
3.531869395800185174e+01,3.531869395800185174e+01,3.764550884089400995e+01,3.764550884089400995e+01,2.295496353762666430e+01,2.295496353762668207e+01,1.350665288559817334e+01,1.350665288559817157e+01
1.461095210349680862e+01,1.461095210349669848e+01,2.106670749368056406e+01,2.106670749368057116e+01,1.632819544355916719e+01,1.632819544355922048e+01,1.097382964704013730e+01,1.097382964704014263e+01
3.481572365489263632e+01,3.481572365489264342e+01,1.511824405246261627e+01,1.511824405246265890e+01,6.997463301181026551e+00,6.997463301181028328e+00,7.036502258115110209e+00,7.036502258115110209e+00
3.373501284973148273e+01,3.373501284973150405e+01,2.541164300939587406e+01,2.541164300939587051e+01,1.259520375527270808e+01,1.259520375527271874e+01,1.896594628794839466e+01,1.896594628794845505e+01
2.780488440373809311e+01,2.780488440373808956e+01,3.591917737358365770e+01,3.591917737358362217e+01,1.747378440094480112e+01,1.747378440094486862e+01,1.145585071526883603e+01,1.145585071526883070e+01
2.524286549829494319e+01,2.524286549829493964e+01,2.989764408459354428e+01,2.989764408459349809e+01,1.673939927730675947e+01,1.673939927730675947e+01,7.992904283420658729e+00,7.992904283420655176e+00
3.028590594243773637e+01,3.028590594243775769e+01,1.996918821210445927e+01,1.996918821210439532e+01,1.023356641624243935e+01,1.023356641624242336e+01,7.506586308912931216e+00,7.506586308912940098e+00
1.241322063379157825e+01,1.241322063379156049e+01,9.482012997590612002e+00,9.482012997590606673e+00,7.320877733470987359e+00,7.320877733470988247e+00,5.866000242612417814e+00,5.866000242612408044e+00
1.649235050107126099e+01,1.649235050107113665e+01,2.241225277028844332e+01,2.241225277028844687e+01,1.636210576589528998e+01,1.636210576589538590e+01,4.109074367756074153e+00,4.109074367756076818e+00
2.480547177305338025e+01,2.480547177305342288e+01,2.743250338355075968e+01,2.743250338355075968e+01,1.615521406181192532e+01,1.615521406181194308e+01,4.019796358940831205e+00,4.019796358940832981e+00
3.105552326438449029e+01,3.105552326438434818e+01,2.631462863350244419e+01,2.631462863350243708e+01,1.441717751385657742e+01,1.441717751385658097e+01,5.549353044655091161e+00,5.549353044655086720e+00
2.144194660590888901e+01,2.144194660590891033e+01,2.442667781528230009e+01,2.442667781528229654e+01,1.518703105207401904e+01,1.518703105207400661e+01,4.513443086251315961e+00,4.513443086251309744e+00
1.352019057447367167e+01,1.352019057447363259e+01,8.494617459320190633e+00,8.494617459320227937e+00,3.624004340266561375e+00,3.624004340266561375e+00,3.824746994675194411e+00,3.824746994675188638e+00
