# anmx, denit, nitox, dnrn
4.195325277872981040e+00,1.967474641649659406e-01,4.789567860374950925e+01,4.771224865421245198e+01
3.556283341927002351e-02,6.114551161627539665e-03,5.876821664814930557e+01,4.119010596726998585e+01
4.365339021825181476e+01,7.845418884206617482e-01,1.297437001883708918e+00,5.426463089144370855e+01
1.417787200720040630e+01,9.237883954026754552e+00,2.111726025179039112e+01,5.546698378698237519e+01
2.223247506823024011e+01,1.773828116752259021e+01,1.191587339374096643e+01,4.811337037050626719e+01
3.054836843003648550e+00,2.258255281492459687e+00,4.113505798878838249e+01,5.355184988671534541e+01
4.946388176430904338e+00,3.604722137818318295e+00,4.018704000601120896e+01,5.126184967973940587e+01
1.614002189355910488e+01,5.888995598870769399e+00,1.737283381519097247e+01,6.059814869237912660e+01
1.323573997754031417e+01,5.799149161860976953e+00,2.910435237392846730e+01,5.186075848667023536e+01
4.677991519456327296e+00,2.536992016289635110e+00,4.166169750665954297e+01,5.112331895759464828e+01
2.598646858721830100e+01,1.703088196909452989e+01,1.687518030256775381e+00,5.529513141343038285e+01
1.917737637925559113e+01,1.757459370279922339e+01,1.337076332586790883e+01,4.987726659207709901e+01
1.458046384583371946e+01,1.028872771747737858e+01,2.613311215853224567e+01,4.899769627815641826e+01
8.974675674775101086e+00,8.052225972613932470e+00,3.285364445031439828e+01,5.011945390229659836e+01
1.447431708984765919e+01,1.395867846661719724e+01,2.215518837721284484e+01,4.941181606632228096e+01
3.954054923279694655e+00,4.367882430740134825e-01,4.698720256110261317e+01,4.862195427254346924e+01
