# DNRN, Anammox, Denitrificatio, Nitrite Oxidation, CaCO3 Dissolution 
9.343403093173912044e-01,4.534524445477403076e-03,5.141561036362697797e-03,1.528448596446657995e-02,4.069911923630211564e-02
7.232501059636073926e-01,8.907669947117133097e-05,3.692852519178095014e-05,1.693165913804819608e-02,2.596922296736824953e-01
7.332116069766462241e-01,1.151763024284997543e-02,4.025180801046854273e-02,2.861023247469224339e-04,2.147328524452871978e-01
3.274642960147801096e-01,7.065140037219605484e-02,5.214788472575494944e-03,2.645886047799315792e-03,5.940236290926466101e-01
5.475864698798315056e-01,2.740813396927182510e-01,1.546374415418010767e-02,2.670131942451049126e-03,1.601983143308205737e-01
5.969822829796593844e-01,2.887146519261565847e-02,2.143468856021501015e-03,7.645870804647860418e-03,3.643569121670532374e-01
6.618613126385234358e-01,4.879485829364835214e-02,3.645954575702827286e-03,8.920166502605660422e-03,2.767777079895177295e-01
5.351444140896766122e-01,7.092351573947526522e-02,9.397732051249274576e-03,2.867198398052992966e-03,3.816671397215445349e-01
5.794198280253277655e-01,7.649174304650993572e-02,9.177001873267693136e-03,5.786957599592487331e-03,3.291244694553038252e-01
5.903346175736443602e-01,3.087294277663933315e-02,3.342860624116684130e-03,8.151978099929938285e-03,3.672976009256680996e-01
5.290423518700452243e-01,2.392313318272845657e-01,1.584534983653537385e-02,3.009483265745660475e-04,2.155800181395620685e-01
4.432650674738007335e-01,2.114420794403298609e-01,1.060875248516681725e-02,2.279053320682728270e-03,3.324050472800196276e-01
5.034285661325945682e-01,1.312683483046609145e-01,9.268164580226737059e-03,4.794370657105774362e-03,3.512405503254124595e-01
5.388051133104737600e-01,9.890383106161107496e-02,6.034546744884594985e-03,6.251086887994253098e-03,3.500054219950351486e-01
4.670696518417034038e-01,1.716999113904692786e-01,8.499700058357245042e-03,3.774807391222367251e-03,3.489559293182466493e-01
6.189679835271304498e-01,6.623791956778655836e-03,3.154493026542989562e-03,9.758076341308565688e-03,3.614956551482392255e-01
