# anmx, denit, nitox, dnrn
9.331850054264477778e-01,2.877855567251576263e-02,4.957694646172912201e+01,4.946108997717217193e+01
9.497738388383785563e-03,2.340987224952672749e-04,5.231385470638607416e+01,4.767641345650300622e+01
9.840882208462414127e+00,2.500201008827244920e+01,1.308423796437167042e+01,5.207286973889355153e+01
1.709872397499147656e+00,4.826367421533733548e+00,4.283160557575531158e+01,5.063215460521166733e+01
3.284059673964934145e+00,3.380012215372405038e+00,4.372063974728518332e+01,4.961528836337753745e+01
6.300754286212121302e-01,3.328948648041187841e-01,4.838133666449440540e+01,5.065569304208031554e+01
8.850674563596512279e-01,6.842137911486887436e-01,4.822853793765613517e+01,5.020218081483551487e+01
2.443667181886512996e+00,2.150586955101592146e+00,4.383655015205521721e+01,5.156919571095679800e+01
2.402030450309935894e+00,1.132545176900238815e+00,4.623322252915379238e+01,5.023220184363574958e+01
9.485521188517770375e-01,3.734253399684350772e-01,4.854483916208580041e+01,5.013318337909388589e+01
2.620981008053941519e+00,5.639537261701104143e+00,4.111701765415674004e+01,5.062246407608795806e+01
2.868990011213726099e+00,2.968556142436141521e+00,4.426417335559820998e+01,4.989828049075200767e+01
2.587009172261448775e+00,1.625722734369577926e+00,4.603416329292139864e+01,4.975310480044725381e+01
1.698818434101971864e+00,1.187347823361921462e+00,4.718555741497989686e+01,4.992827632755587075e+01
2.466434426243353073e+00,2.094850628264235848e+00,4.558590087774056343e+01,4.985281406775188628e+01
8.988231531114825312e-01,6.428914794516045472e-02,4.937097968035271833e+01,4.966590801859063475e+01
