# DNRN, Denitrification, Anammox, Nitrite Oxidation, CaCO3 Dissolution 
8.775712138853962729e-01,0.000000000000000000e+00,2.898320178462442543e-03,2.766045839931748768e-02,9.187000753682388055e-02
8.250727784348217408e-01,0.000000000000000000e+00,2.344533647110064959e-03,2.649579794717946829e-02,1.460868899708886448e-01
8.527962020338697435e-01,0.000000000000000000e+00,5.504931920262680529e-03,2.617030455797827310e-02,1.155285614878891892e-01
8.821211920004907725e-01,2.001631552356259239e-02,3.109903172413865970e-03,2.758612155452789746e-02,6.716646774900478234e-02
7.366242231614226199e-01,0.000000000000000000e+00,1.844337680166741652e-03,2.238021374243081424e-02,2.391512254159797179e-01
8.923853132811941924e-01,0.000000000000000000e+00,1.234572729363679448e-03,2.814017443263365850e-02,7.823993955680841328e-02
7.134313675171197744e-01,2.185736313389097588e-02,2.252503740547121772e-03,2.212956446065198271e-02,2.403292011477902168e-01
9.053448002586238497e-01,0.000000000000000000e+00,2.844117728025149453e-03,2.834793630056388000e-02,6.346314571278716121e-02
7.806153576728698251e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.423378203037103093e-02,1.951508602967591266e-01
9.149699607245456168e-01,0.000000000000000000e+00,3.723605348789307172e-04,2.885520757762245411e-02,5.580247116295315030e-02
7.845414190808888133e-01,0.000000000000000000e+00,4.506682040555836169e-03,2.443374155147683482e-02,1.865181573270784932e-01
8.318802949068908603e-01,0.000000000000000000e+00,4.024965682931549993e-03,2.721179925927343438e-02,1.368829401509041033e-01
8.643079858123228210e-01,0.000000000000000000e+00,2.337765213391451973e-03,2.717489850455073047e-02,1.061793504697349788e-01
8.964789747556624055e-01,0.000000000000000000e+00,9.844404624790342902e-04,2.854038085823812007e-02,7.399620392362049603e-02
8.397937831516351093e-01,0.000000000000000000e+00,1.492407644498195817e-04,2.795830479245550032e-02,1.320986712914596073e-01
7.541039069204368284e-01,5.982994657816685657e-02,0.000000000000000000e+00,2.352966673324660002e-02,1.625364797681497775e-01
7.926565935228372384e-01,0.000000000000000000e+00,5.639050833151700460e-04,2.656493319890526270e-02,1.802145681949423039e-01
8.604854388905177620e-01,1.420246255231008906e-02,3.487928502092539369e-03,2.724214786890133758e-02,9.458202218617837997e-02
8.504104427295264834e-01,0.000000000000000000e+00,1.190492837631601259e-03,2.783150880131603916e-02,1.205675556315258939e-01
8.219467598318365154e-01,0.000000000000000000e+00,2.749575968090791321e-03,2.434390807888871244e-02,1.509597561211838412e-01
8.618165945966658192e-01,0.000000000000000000e+00,5.498803120011171164e-03,2.733584818928724153e-02,1.053487540940356432e-01
9.073498866109820371e-01,0.000000000000000000e+00,1.604256632955844506e-03,2.895915492009389081e-02,6.208670183596819853e-02
8.530868905607967845e-01,0.000000000000000000e+00,4.191350872905912420e-03,2.713209289242450584e-02,1.155896656738727296e-01
8.130953372137156299e-01,0.000000000000000000e+00,9.116804977220553012e-04,2.573609049768965651e-02,1.602568917908727131e-01
7.787018366693240212e-01,5.797091407434039508e-03,2.157196402279709657e-03,2.455345807472866099e-02,1.887904174462335105e-01
7.435638729573471606e-01,6.327892931434653256e-02,0.000000000000000000e+00,2.462648330075952602e-02,1.685307144275466351e-01
9.190440984186165618e-01,0.000000000000000000e+00,1.783633203730833003e-04,3.050548044733187789e-02,5.027205781367832110e-02
8.507620353801902402e-01,1.786117389193073862e-02,0.000000000000000000e+00,2.719752259216308768e-02,1.041792681357158329e-01
6.638802511308755649e-01,3.704753329729070649e-02,9.598025702452131882e-04,2.119120660890233890e-02,2.769212063926862477e-01
8.591876318843558735e-01,4.628277076047382366e-02,1.322585831396491402e-03,2.817509641127435849e-02,6.503191511249949153e-02
8.404103872342417736e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.662460151121599089e-02,1.329650112545421592e-01
8.214710089170171869e-01,6.695304311240735107e-02,0.000000000000000000e+00,2.586431474262140123e-02,8.571163322795409545e-02
8.527524627701428273e-01,0.000000000000000000e+00,1.634785969340205687e-03,2.821340269911930265e-02,1.173993485613976928e-01
7.770208551733600588e-01,4.749781065026729976e-02,0.000000000000000000e+00,2.549244746379568383e-02,1.499888867125770131e-01
7.456416949971443886e-01,8.051667151122661459e-02,0.000000000000000000e+00,2.439430951928738683e-02,1.494473239723415892e-01
8.369331476494779043e-01,6.716893667715718996e-02,0.000000000000000000e+00,2.516439661275095968e-02,7.073351906061391137e-02
7.065249433514767530e-01,0.000000000000000000e+00,2.467544010162272834e-03,2.206029527449177366e-02,2.689472173638693397e-01
8.567185198544553515e-01,0.000000000000000000e+00,4.533075587490490409e-03,2.629363114898577297e-02,1.124547734090682871e-01
8.002934981138092319e-01,0.000000000000000000e+00,2.525501007330514976e-03,2.475010353251945114e-02,1.724308973463409000e-01
6.535732992322959012e-01,8.685398202839456072e-02,7.579240409826338339e-04,2.015295592839137437e-02,2.386618387699354638e-01
7.851611927028769866e-01,0.000000000000000000e+00,5.330090981302618158e-03,2.502364307216527542e-02,1.844850732436551233e-01
8.047815806858200638e-01,0.000000000000000000e+00,3.621132812579333244e-03,2.609312128796785826e-02,1.655041652136327868e-01
9.560222483327289744e-01,3.830017901624741244e-03,0.000000000000000000e+00,3.101650461002123174e-02,9.131229155625008795e-03
8.545116473404889001e-01,0.000000000000000000e+00,4.051772679639565472e-03,2.700377552557889707e-02,1.144328044542926859e-01
7.518114378175715373e-01,1.064370848913611389e-01,0.000000000000000000e+00,2.382762627956494864e-02,1.179238510115023786e-01
