# DNRN, Anammox, Denitrification, Nitrite Oxidation, CaCO3 Dissolution 
4.519008186109383512e-02,4.340571842058537147e-03,4.002144606161564099e-04,1.603142374540742713e-03,4.675423439572642254e-02
6.820309430042850729e-02,2.445899145644362879e-02,2.202175016206898029e-03,2.491924664062439548e-03,6.998500942621452281e-02
6.530227984036530986e-02,3.027493191250575644e-02,3.573139257510034045e-03,2.587363328593301082e-03,6.186204908277762732e-02
3.413805198902319753e-03,0.000000000000000000e+00,4.220064689771777823e-03,1.124418438714586653e-03,0.000000000000000000e+00
1.944512525727788363e-02,2.138033738886473481e-02,4.380355476742697242e-03,1.354032624678375889e-03,5.816523408891653701e-03
2.960082436321917823e-02,3.978160077382655174e-02,3.637098152398098114e-03,1.209554568557206361e-03,3.367885541024207008e-02
3.473001208826520612e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.471777577880904872e-04,3.592346382637316964e-03
4.235167429032777806e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.714655655628915078e-04,4.382097516189304570e-03
