# anmx, denit, nitox, dnrn
2.253911466990108359e-01,2.218494075425310186e-01,3.843359936267749521e-01,2.924621062869448562e-01
1.047307709870199055e+00,1.082375400287054257e+00,1.068544037560860582e+00,7.128906335238728298e-01
1.503339374478682267e+00,1.248956032433153673e+00,1.543097191036449933e+00,8.082142745213944934e-01
1.653452126200645189e+00,0.000000000000000000e+00,1.537890428919581609e+00,6.116496814008024474e-01
1.701042708661810732e+00,8.116558257071161409e-01,1.515101225988442879e+00,5.765640401304824580e-01
1.581068152739721455e+00,1.625974067709321513e+00,8.477245212121790052e-01,2.553798899104252618e-01
0.000000000000000000e+00,0.000000000000000000e+00,7.062662032508626453e-02,7.062662032508613963e-02
0.000000000000000000e+00,0.000000000000000000e+00,9.001240497988123590e-02,9.001240497988127753e-02
