# NO3, NO2, Nstar, TA, DIC
2.671777079045222283e-02,4.732623742394210852e-10,3.080459536508864740e-02,1.108836137149082912e-01,7.906993816477681542e-12
5.810391547163776954e-02,4.723291374893372890e-02,4.565298621751501945e-02,1.330046620588649087e-01,1.109909904092703158e-11
5.703068012582383772e-02,6.179279902307704964e-02,7.617272574430496157e-02,1.123946429420298182e-01,2.343838622354829812e-11
4.737141949488710840e-02,2.192083116717297511e-02,5.624694746052957134e-02,4.900768754316854603e-02,2.623699596506543794e-11
4.628699498520033595e-02,3.029113452996802167e-02,6.797335149459721171e-02,4.989784075556033538e-02,3.946589570714311780e-11
2.062559701554287153e-02,2.117809160727057716e-02,3.702982817539791222e-02,3.051816061845976161e-02,4.555691208519468196e-12
6.680432841904203507e-03,3.611974562405521894e-03,6.447152035458570372e-03,5.810869999925579593e-03,4.652758833558294341e-13
4.908271224084881368e-03,4.325952622446439973e-03,2.526922502159369664e-03,4.314547129717162532e-03,9.613906058673482405e-14
