# anmx, denit, nitox, dnrn
1.580865727427676504e+00,4.603050905988399499e+00,4.375540947136157399e+01,5.006067389522227273e+01
1.713466218938192398e+00,2.668501184407705118e+00,4.459473225425423237e+01,5.102330034239984258e+01
5.397502882954037240e+00,4.822451115497247698e-01,4.383482387645005218e+01,5.028542812904639447e+01
1.475313712890763362e+01,0.000000000000000000e+00,3.613459535722189742e+01,4.911226751387046363e+01
1.311564070338636157e+01,3.896640379380789110e-01,3.720434781733921170e+01,4.929034744133628010e+01
4.947732401614039155e+00,5.911762393115858494e+00,4.063103544534609313e+01,4.850946975992397370e+01
0.000000000000000000e+00,0.000000000000000000e+00,5.388542499171096267e+01,4.611457500828905864e+01
0.000000000000000000e+00,0.000000000000000000e+00,5.445987897904394259e+01,4.554012102095616399e+01
