# DNRN, Anammox, Denitrification, Nitrite Oxidation, CaCO3 Dissolution 
5.719576438340937680e-02,3.923199164771205144e-02,2.971820896076780502e-03,2.126380143308098224e-03,5.974736831584370744e-02
6.842128515360307306e-02,5.635717351370632400e-02,3.581799162113614293e-03,2.682510638450670299e-03,6.183426923537130998e-02
2.919791868515293418e-02,3.040298083481701025e-02,4.052302393725455698e-03,1.462403237136680441e-03,9.385416350300143651e-03
1.926422179944306968e-03,0.000000000000000000e+00,2.389752514842218099e-03,7.164717928136657291e-04,0.000000000000000000e+00
1.736274023053328147e-02,1.931247388592872635e-02,3.183390593646776619e-03,1.005468275866007585e-03,6.978432589557854375e-05
2.650456871854973626e-02,5.485576135264600556e-02,4.285010971900838142e-03,1.011530096372415975e-03,3.141895489661909041e-02
2.791088477365563474e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.215557482955364262e-04,2.886881499392439290e-03
2.116060564317935166e-03,0.000000000000000000e+00,0.000000000000000000e+00,9.782592231596354509e-05,2.189134125693003880e-03
