# NO3, NO2, Nstar, TA, DIC
-1.224177083335822314e-01,2.509612565535057627e-03,-1.454047383709095587e-01,6.448500776831319614e-01,9.548188714049077319e-01
-1.554163525822578329e-01,5.384652029418846020e-02,-1.375297129505156368e-01,2.993891118303366738e-01,9.411429155933863644e-01
-1.553490400211789968e-01,1.640262342912479632e-02,-2.633408572772188427e-01,1.071213878871102032e-01,9.153178734183127219e-01
-2.904666446037480476e-01,-5.467209363463432226e-02,-6.902774764767644067e-01,9.175019542449562582e-02,8.759472898448674716e-01
-2.725819520634558124e-01,-4.316855548665499143e-02,-6.199994218565361148e-01,1.028004076459314575e-01,8.840671637560879592e-01
-1.734674679709526934e-01,-7.753728403490978138e-02,-3.502158535162390729e-01,3.203542746740506431e-01,9.323586242934713830e-01
2.149918680999374221e-01,-2.149918680999374221e-01,0.000000000000000000e+00,4.268527247142022696e-01,9.355871951671156372e-01
1.986146737053786637e-01,-1.986146737053786637e-01,0.000000000000000000e+00,7.485509298681291002e-01,9.476094212542462980e-01
