# NO3, NO2, Nstar, TA, DIC
-8.287038531004486952e-03,-2.509612053385359542e-03,-4.121266867035233705e-03,2.789523156763251688e-02,4.518112859504963552e-02
-1.477211574138437289e-02,-1.446445301066502653e-03,-3.661412319997503495e-03,1.457725310102375715e-02,5.885708440669890074e-02
-4.738422829660915436e-02,-3.298683992480927474e-02,-5.491902037590590258e-03,-9.523960475870826836e-02,8.468212658150253702e-02
-1.316187894692570914e-01,-1.080518661775796141e-01,-2.523839383370063416e-02,-3.495132243098739155e-01,1.240527101553101641e-01
-1.256400330236379648e-01,-9.793400988350392522e-02,-3.075037713190620359e-02,-6.358996818671336371e-02,1.159328362436811144e-01
-1.351069627687367936e-02,-6.496215008056610563e-03,-2.464269471742891460e-02,2.256202899486403624e-02,6.764137570681993950e-02
1.579151726147978163e-01,1.282110731291185302e-01,4.692247433012139424e-02,2.941149821449678958e-02,6.441280483283728930e-02
1.863826024999185593e-01,1.643252608155720274e-01,1.654897055373378834e-01,4.142954980008706212e-02,5.239057874572883300e-02
