# NO3, NO2, NH4, Nstar, TA, DIC
7.682068468022815466e+01,2.914807884005674623e+03,1.551231990574438125e+14,2.087533925882959807e+01,1.641020506693172720e+01,6.022596270096853388e+00
5.229745195360636956e+01,2.041783381448545333e+04,inf,1.002822840981051087e+02,3.448204092458077241e+00,4.928453356116004436e+00
5.965381586513453271e+01,7.170790244742512414e+02,1.379286382072418055e+05,4.651708381795118186e+01,4.856666911102565365e+01,7.064680276815574089e+00
2.124094109192909485e+01,4.819356570699605982e+02,1.706940041708185151e+07,3.512853683011834249e+01,3.321262194672297774e+00,1.919584398556064109e+00
1.419965840540305102e+01,2.197623148498014871e+03,5.033788446987791758e+03,1.401066783702647278e+01,5.054541385303394918e+00,4.829449474447071289e+00
1.574799346182366122e+01,3.441488605133623935e+01,4.720359123348903813e+04,8.483682351458226094e+02,2.379149200260608943e+00,3.293167216621510462e+00
2.946627100007862055e+01,2.015858589832075438e+02,8.562171396913154240e+03,1.704752222846330199e+02,1.222883271065922761e+00,3.985775388941457997e+00
4.008358438126452761e+00,1.790267514499558388e+01,3.599601712468710048e+03,8.012741738782876766e+00,3.724598640942827998e+00,3.204781076422518638e+00
5.231315032968115730e+01,7.865438625830395836e+01,4.145626881557892921e+04,1.151625226979219541e+01,4.262790729953827906e+00,4.221775045781460456e+00
8.080455711438042954e+01,6.964893652877492514e+01,5.357456977529198048e+04,8.542947031999143803e+01,3.100309462099680058e+00,3.610279712571448751e+00
2.465560639684957867e+00,1.282349438766871330e+01,8.764516068533954967e+04,6.045869331232906596e+00,3.960628480357152537e+00,2.892624231612143326e+00
9.098727774409711699e+00,1.567919779947948768e+02,2.306183548381254877e+04,1.072619073076413088e+01,4.110809908281797931e+00,3.673699016050194111e+00
2.406087126190373482e+01,4.462356572969336526e+02,1.562060926335070144e+04,1.169635845302518717e+01,4.376780738125975567e+00,4.073627678196145574e+00
3.460201471175486265e+00,1.528143842041743846e+04,6.553394669830958080e+17,1.780626833539653786e+00,3.453934428202521723e+00,3.775587929025530975e+00
5.531669569100604811e+00,5.200139277749146223e+08,9.041978456799428800e+16,8.522643850068858384e+00,3.964560162472702487e+00,3.753407532983794148e+00
1.132807567791487742e+02,3.747689222054958596e+21,6.986954856334879994e+07,2.999569046884445100e+01,3.266793892563311097e+00,3.910931215257753557e+00
