# anmx, denit, nitox, dnrn
3.194389356341806430e+00,7.589804102323705060e-01,3.703540538505839308e+00,1.794050421657780614e+00
2.794536200256556580e-01,4.904131951947089674e-02,3.220347431540944161e+00,3.182426061020249719e+00
1.276358424392536861e+01,5.414132736485363750e+00,8.074547762088752023e+00,1.204303439459988567e+01
1.108341491788303479e+01,1.258410866592410571e+01,2.098070508047040406e+01,1.030093888277389524e+01
5.048582456664354901e+00,1.014942560299309804e+01,1.260029824624544226e+01,2.238367693833831495e+00
2.456741860169924685e+00,3.461192508376766952e+00,5.346143793330789151e+00,2.312221496096661610e+00
6.327782594673879046e+00,7.024268804990766668e+00,1.091755749255269947e+01,4.018856363912564511e+00
1.092865652944825960e+01,9.018390610891051651e+00,1.640075820968338505e+01,6.938913680624405167e+00
7.539419463923652032e+00,8.281359867811858066e+00,1.326816659425303513e+01,4.096038043255306071e+00
3.909506173577867116e+00,4.828978162050987955e+00,7.883477408328914748e+00,3.289891105842453367e+00
5.697370875542506319e+00,7.160499121227561048e+00,9.266222634219113630e+00,3.409830042805017225e+00
3.481466215882419224e+00,1.045469806332522467e+01,1.172382313751001348e+01,2.333946985147790532e+00
5.853772307508780415e+00,8.546096995431884835e+00,1.147159271839277395e+01,2.550433119650205249e+00
4.188964197034760417e+00,8.358680945391512296e+00,1.046446012864709019e+01,2.637813071355135985e+00
4.112009890756463726e+00,8.043353420449088631e+00,9.630357243426397318e+00,1.868210372640137562e+00
2.716628470798960748e+00,1.194432551223655770e+00,3.544092523832046648e+00,1.644445419274217279e+00
