# NO3, NO2, NH4, Nstar, TA, DIC
7.510856729353913863e+01,3.084939141638029469e+03,1.513350866312972188e+14,2.786887962501594629e+01,1.972564851713702438e+01,2.095021321062441988e+00
5.032203676992963182e+01,2.126166350792410958e+04,inf,1.002614090574255954e+02,6.979744293611780392e-01,1.867319827872939930e+00
9.448597928236291921e+01,2.824697911601969736e+03,1.335997839356642507e+05,6.234320857688980766e+01,4.874544345766389597e+01,6.567431942218446395e+00
7.131532708351970484e+01,2.989766217524271497e+02,2.867315389592668042e+07,2.722186725878992242e+00,5.822893932703507858e+00,1.268394328602234777e+00
4.407943932184888780e+01,2.876121491418243750e+03,1.176727113763872148e+04,2.814070485670329802e+01,1.227794798848929148e+01,3.889110723946763937e+00
2.244210962846086588e+01,3.586048218135768195e+01,4.246467336572467320e+04,7.899560887267386988e+02,3.577134553293627728e-01,7.941505040177472274e-01
4.527228259087225837e+01,2.027268112158996018e+02,6.880850962425853140e+03,1.633538494233479810e+02,3.238912162623351909e-01,1.295690109424501912e+00
5.181281161607100927e+01,6.796300083958168159e+01,5.401248309425314801e+03,2.460861070813131590e+01,1.002019866285123939e+01,1.735596237436562550e+00
6.437923238621038990e+00,1.019507304509011902e+02,7.967121503718124586e+04,2.360551789209014473e+01,5.625856683165563865e+00,2.143684210670883772e+00
4.774775099086786412e+01,7.305655703682319313e+01,4.543987856261892011e+04,7.485281838897461171e+01,1.028152517184945713e+00,1.159376009791769802e+00
6.795410065087467899e+01,1.213868990146380895e+02,6.221265618580515729e+05,3.709561990886264482e+01,1.844571244299665480e+01,3.301326743724371404e+00
4.240039254193986551e+01,2.222238624069212563e+02,6.920690477595453558e+04,2.508741050119374805e+01,8.041145167719069065e+00,2.778722650819765772e+00
1.937345343860504698e+01,4.637580992698504474e+02,3.958345239501911419e+04,2.000651836814391515e+01,5.026577474457703865e+00,2.401276173524813373e+00
2.472443833192113516e+01,1.142138942826675338e+04,3.707779496015916160e+17,8.728522579868327469e+00,2.947964937981770284e+00,1.766126920578507953e+00
3.068369756427543038e+01,4.222605144478069544e+08,3.997283691703664640e+17,1.796134404404666896e+01,4.944641722057550481e+00,2.334531655035124054e+00
1.104022229698285145e+02,3.897019029016457249e+21,6.704769449541950226e+07,3.440542873449737016e+01,6.361919678332309536e-01,1.265414589139303603e+00
