# NO3, NO2, Nstar, TA, DIC
1.058599220117754847e+01,1.681850584060961751e+01,2.410864463796636414e+01,4.406439195725896596e+00,4.377890683428096175e+00
6.853154442175914518e+00,2.036505620410685324e+01,1.634048133377304879e+01,6.695279509842801069e+00,6.474678418770777988e+00
4.241645401824019501e+01,1.617505938084715638e+02,1.000000000000000000e+02,5.582854906671578910e+00,5.583130573551246201e+00
