# anmx, denit, ox, red, nitox, dnrn, caco3 diss, other DIC
8.138333573998577819e+00,8.138333573998608017e+00,1.576918348392308822e+00,1.576918348392327029e+00,5.645261824802429995e-01,5.645261824802432216e-01,4.733989731419051772e+00,4.733989731419038449e+00
2.030466320656220702e+01,2.030466320656220702e+01,1.753676141205386674e-01,1.753676141205343375e-01,9.374657740982978993e-01,9.374657740982976772e-01,7.061518964911066121e+00,7.061518964911063456e+00
2.466539392903349892e+01,2.466539392903349182e+01,2.498076035730733224e+01,2.498076035730731093e+01,1.522628010132573273e+01,1.522628010132570431e+01,1.412286052394638425e+01,1.412286052394636116e+01
4.035411700883707198e+01,4.035411700883707198e+01,1.293215272327332244e+01,1.293215272327334731e+01,6.257948234206670790e+00,6.257948234206672566e+00,1.435009212402967371e+01,1.435009212402967194e+01
1.933710831651500683e+01,1.933710831651501749e+01,3.159780836303246243e+00,3.159780836303249796e+00,9.040313586805454049e-01,9.040313586805456270e-01,1.045629250505526642e+01,1.045629250505529484e+01
3.283479253008555077e+01,3.283479253008560050e+01,1.626750280900085777e+00,1.626750280900115975e+00,6.247087566347661047e-01,6.247087566347671039e-01,7.045628228188407505e+00,7.045628228188416387e+00
3.488663993094694860e+01,3.488663993094695570e+01,4.287800224144901584e+00,4.287800224144924677e+00,1.191817254112312652e+00,1.191817254112313762e+00,1.890297197050591649e+01,1.890297197050594136e+01
3.259833119567745285e+01,3.259833119567745285e+01,6.397546043107223745e+00,6.397546043107182889e+00,1.689033264443638549e+00,1.689033264443639215e+00,1.203551292347169976e+01,1.203551292347169444e+01
2.756504990332712168e+01,2.756504990332710037e+01,4.302652935639130760e+00,4.302652935639118326e+00,1.235459141160037078e+00,1.235459141160036634e+00,8.252891829314860317e+00,8.252891829314858541e+00
2.997310904377821927e+01,2.997310904377820862e+01,2.344062925189250191e+00,2.344062925189194679e+00,9.382408888566886596e-01,9.382408888566888816e-01,7.478569554222457505e+00,7.478569554222453952e+00
1.785043495989395623e+01,1.785043495989392781e+01,3.071835940395663211e+00,3.071835940395663656e+00,9.378164667595767501e-01,9.378164667595751958e-01,7.031910691188857143e+00,7.031910691188871354e+00
2.112189843205136697e+01,2.112189843205135276e+01,2.345915380970600150e+00,2.345915380970599706e+00,7.808015194199516840e-01,7.808015194199513509e-01,4.789030846085357673e+00,4.789030846085339910e+00
2.478137699146862261e+01,2.478137699146856221e+01,3.520492723912207467e+00,3.520492723912223010e+00,8.941221683712609059e-01,8.941221683712606838e-01,4.345148475182401882e+00,4.345148475182402770e+00
3.122753080769631140e+01,3.122753080769629719e+01,2.794865615552044158e+00,2.794865615552041049e+00,9.168647096715023537e-01,9.168647096715029088e-01,5.744485834989350614e+00,5.744485834989341733e+00
2.214122414953541096e+01,2.214122414953535412e+01,2.596063623916618823e+00,2.596063623916613050e+00,6.860970534176412672e-01,6.860970534176404900e-01,4.631135708720666599e+00,4.631135708720663935e+00
1.182796510450747718e+01,1.182796510450747896e+01,1.415930466217988348e+00,1.415930466218021655e+00,5.158748303410620739e-01,5.158748303410619629e-01,3.834610039843264317e+00,3.834610039843265650e+00
