# anmx, denit, nitox, dnrn
7.714212434139494645e-01,1.457080829818384049e-01,8.681572461329196688e-01,4.408263159294161793e-01
8.322632128913998173e-02,2.703653936190410917e-02,9.451968175270669681e-01,9.317569703451400454e-01
5.774864361197218798e+00,9.389432867161641383e+00,1.345024032727782348e+01,4.497509690855665987e+00
2.509466093680902343e+00,5.573221558841682466e+00,7.108255016429835038e+00,3.349435901573425411e+00
8.912409943039683036e-01,1.570854327815614848e+00,1.577790117990912622e+00,4.015533281954714040e-01
5.550131240692343093e-01,5.461832766074031786e-01,9.291664187961822252e-01,4.621294843319224688e-01
1.244233591167070108e+00,1.384191253285248280e+00,2.010941582715592091e+00,8.334547287683842232e-01
1.896565611023088849e+00,2.116888747586199049e+00,2.924031519530774226e+00,1.113519711212308527e+00
1.515315518981803278e+00,1.374929151400523519e+00,2.115875497725948851e+00,7.997848952909999420e-01
8.672275899964985157e-01,7.141730801266743534e-01,1.372972183596252727e+00,7.027997569204801342e-01
9.124105944157329118e-01,1.606315502612026158e+00,1.533685702963251130e+00,4.579005585701425574e-01
7.536857491342575655e-01,1.407817187345639098e+00,1.259789092408181377e+00,3.923490491548737302e-01
1.161561880513144018e+00,1.275135775668694516e+00,1.668750764029080624e+00,5.080195666883410288e-01
9.155953142132150502e-01,1.189440518047519380e+00,1.502051174270909728e+00,5.317568568543901142e-01
8.180135345659601542e-01,1.141515922644914083e+00,1.253828961166129075e+00,3.610626821517091134e-01
6.557670412091713974e-01,2.102416184846052638e-01,7.902353196762947896e-01,3.917987337891354338e-01
