# anmx, denit, ox, red, nitox, dnrn, caco3 diss, other DIC
7.604893160294487586e+00,7.604893160294481369e+00,1.824437140617395592e+00,1.824437140617394704e+00,6.467804743204734752e-01,6.467804743204729201e-01,4.770417015648278358e+00,4.770417015648319214e+00
1.313464842233009300e+01,1.313464842233009300e+01,1.900370166792607896e-01,1.900370166792604565e-01,1.077734755978760894e+00,1.077734755978760672e+00,7.106124879640931091e+00,7.106124879640926650e+00
2.482733171388029803e+01,2.482733171388041526e+01,2.600765268461147173e+01,2.600765268461146817e+01,1.676318694374401730e+01,1.676318694374394980e+01,1.412353678090632947e+01,1.412353678090624598e+01
4.067464091571842744e+01,4.067464091571843454e+01,1.492764340384725408e+01,1.492764340384725230e+01,7.172485793414337785e+00,7.172485793414342226e+00,1.434693118062332928e+01,1.434693118062332751e+01
1.935331149810985707e+01,1.935331149810986773e+01,3.779107997804927344e+00,3.779107997804929120e+00,1.107466671456134533e+00,1.107466671456134533e+00,1.052719993896178075e+01,1.052719993896175232e+01
3.332270394620994125e+01,3.332270394620996257e+01,1.915637321626619372e+00,1.915637321626651124e+00,7.366879931191624431e-01,7.366879931191617770e-01,7.043988287847158247e+00,7.043988287847156471e+00
3.462560646023029420e+01,3.462560646023030131e+01,4.941175585371502699e+00,4.941175585371544443e+00,1.389240612964965260e+00,1.389240612964967481e+00,1.908434186894452722e+01,1.908434186894463735e+01
3.221205374971536628e+01,3.221205374971537339e+01,7.642068222015620194e+00,7.642068222015640622e+00,2.028628601101786888e+00,2.028628601101784223e+00,1.200577646075579885e+01,1.200577646075580418e+01
2.764665081515288492e+01,2.764665081515282097e+01,4.963232152038964173e+00,4.963232152038951739e+00,1.449820430967713181e+00,1.449820430967713847e+00,8.193606694118413358e+00,8.193606694118415135e+00
3.067630238278185573e+01,3.067630238278183086e+01,2.741323843052078768e+00,2.741323843051937104e+00,1.094327865731413274e+00,1.094327865731413496e+00,7.454359906178617656e+00,7.454359906178615880e+00
1.796648698945313782e+01,1.796648698945313782e+01,3.759161859382670556e+00,3.759161859382668780e+00,1.183672853484023291e+00,1.183672853484023513e+00,7.082932641878922020e+00,7.082932641878920244e+00
2.137816803159047652e+01,2.137816803159050139e+01,2.825455384938185599e+00,2.825455384938190484e+00,9.616891632407539303e-01,9.616891632407540413e-01,4.773755163399086676e+00,4.773755163399080459e+00
2.546767596814584422e+01,2.546767596814583001e+01,4.149987344265703371e+00,4.149987344265718470e+00,1.070928561279899327e+00,1.070928561279901547e+00,4.399317232966372337e+00,4.399317232966374114e+00
3.168842184512312699e+01,3.168842184512332238e+01,3.336153329370529885e+00,3.336153329370551202e+00,1.085287886792671408e+00,1.085287886792672074e+00,5.649354022437480083e+00,5.649354022437474754e+00
2.222870748979431355e+01,2.222870748979428512e+01,3.103639842482792233e+00,3.103639842482797118e+00,8.327373672279184680e-01,8.327373672279188010e-01,4.701999299994039205e+00,4.701999299994037429e+00
1.190094593639131126e+01,1.190094593639131126e+01,1.616976435648654897e+00,1.616976435648671329e+00,6.006062320472987937e-01,6.006062320472986826e-01,3.855106104420742863e+00,3.855106104420739310e+00
