# anmx, denit, ox, red, nitox, dnrn, caco3 diss, other DIC
9.857474236433102988e+01,1.425257635669000988e+00,9.820927827181579062e+01,1.790721728184054617e+00,5.003976934195470250e+01,4.996023065804529750e+01,4.039441590365714596e+00,9.596055840963443018e+01
9.794861138015532731e+01,2.051388619844668249e+00,9.998215061115097058e+01,1.784938884903351786e-02,5.215481856562037422e+01,4.784518143437969684e+01,2.668970911947314661e+01,7.331029088052660825e+01
3.544814073036915403e+01,6.455185926963078202e+01,3.451681403145859406e+01,6.548318596854140594e+01,2.058654848600635745e+01,7.941345151399345070e+01,7.996354007329689928e+00,9.200364599267005872e+01
4.310255588045309594e+01,5.689744411954693959e+01,8.812933898355767326e+01,1.187066101644237470e+01,4.585790967203323021e+01,5.414209032796669163e+01,5.951283035477720063e+01,4.048716964522279227e+01
6.158239071987881630e+01,3.841760928012109844e+01,8.811455637041852640e+01,1.188544362958161571e+01,4.711480728252064409e+01,5.288519271747929906e+01,1.537763504842177475e+01,8.462236495157799254e+01
7.891928364801447060e+01,2.108071635198545124e+01,9.823151687484347860e+01,1.768483125156337987e+00,4.895114384451863287e+01,5.104885615548136713e+01,3.724340351836848129e+01,6.275659648163141924e+01
6.916880620548563741e+01,3.083119379451427022e+01,9.716774260383378703e+01,2.832257396166076191e+00,4.906738467615167565e+01,5.093261532384835277e+01,2.820697515155011104e+01,7.179302484844957633e+01
6.374163176924049168e+01,3.625836823075932358e+01,9.145756269528850169e+01,8.542437304711329560e+00,4.623243763797702854e+01,5.376756236202303540e+01,3.722883371866340951e+01,6.277116628133637022e+01
7.972309848509299002e+01,2.027690151490718051e+01,9.369008948150970184e+01,6.309910518490438491e+00,4.811156209162264474e+01,5.188843790837739789e+01,3.362735896616698028e+01,6.637264103383266445e+01
8.254159357854575774e+01,1.745840642145437016e+01,9.756291630769713663e+01,2.437083692302683957e+00,4.922622678174222699e+01,5.077377321825777301e+01,3.752176132383659990e+01,6.247823867616349247e+01
4.143115696955457850e+01,5.856884303044536466e+01,8.491288851730686815e+01,1.508711148269301994e+01,4.527744104573198314e+01,5.472255895426805239e+01,1.679127683479699584e+01,8.320872316520286915e+01
6.121156947268488580e+01,3.878843052731495789e+01,8.941347867917218650e+01,1.058652132082795561e+01,4.724341701858827491e+01,5.275658298141178904e+01,3.346545302495356111e+01,6.653454697504665205e+01
7.281848337701963203e+01,2.718151662298042126e+01,9.236169696148519392e+01,7.638303038515281251e+00,4.818127033686334926e+01,5.181872966313659390e+01,3.586576144420735801e+01,6.413423855579279120e+01
7.183900653471594921e+01,2.816099346528396907e+01,9.470128892342525262e+01,5.298711076574432965e+00,4.867008057141615751e+01,5.132991942858388512e+01,3.573263040094346366e+01,6.426736959905666424e+01
6.606665398563517044e+01,3.393334601436510667e+01,9.179040260496996950e+01,8.209597395029964773e+00,4.795429121270166206e+01,5.204570878729838057e+01,3.568020979865353581e+01,6.431979020134679104e+01
9.697682764061933369e+01,3.023172359380652541e+00,9.828501838488769238e+01,1.714981615112182389e+00,4.986492693578377100e+01,5.013507306421620768e+01,3.704317661792673988e+01,6.295682338207340933e+01
