# DNRN, Anammox, Denitrificatio, Nitrite Oxidation, CaCO3 Dissolution 
7.032293196744417996e-01,4.803941412692474075e-05,4.448903519110795207e-02,2.497032426225249957e-02,2.272632814580696492e-01
8.324556608946731551e-01,0.000000000000000000e+00,9.545234515785257917e-03,3.395746340601633884e-02,1.240416411835239402e-01
8.493692775283673280e-01,0.000000000000000000e+00,7.393455475843052627e-03,4.109294732193127797e-02,1.021443196738567316e-01
6.540848966388167485e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.514978118182143785e-02,3.107653221793580944e-01
