# NO3, NO2, Nstar, TA, DIC
1.017797244689533365e-02,2.833655657740652423e-02,-1.227583321455258392e-02,2.980361361653649510e-02,4.949896824443977827e-02
2.698795707738860239e-02,2.908435485138261001e-02,-2.322900146350179162e-02,2.624239317553478390e-02,6.814997580587478510e-02
1.678473827125761542e-01,1.449381842347111649e-01,1.110907952984921954e-01,3.986481657780949206e-02,5.437755307107616787e-02
