# DNRN, Anammox, Denitrificatio, Nitrite Oxidation, CaCO3 Dissolution 
4.416245401482554733e-02,1.267240417143043925e-02,5.046017776946226836e-03,2.454826470012270220e-03,4.415768395847063238e-02
6.601288039419520026e-02,2.134006313785528301e-03,4.168018167753648000e-04,3.311339423723658974e-03,6.815510680830534629e-02
8.931338585646640682e-02,8.994254257518710660e-02,1.800958727071847246e-02,3.307729224134692281e-03,1.238242104602563093e-01
1.284431275431467956e-01,9.107988904787719942e-02,4.440063573562071271e-03,5.562066012342574937e-03,1.415162770920140589e-01
1.194927879221622663e-01,9.380700434267881527e-02,4.930852029024784637e-03,5.112429671031035357e-03,1.000096207228237666e-01
6.871363615920676737e-02,2.938910701677069012e-02,2.372817234302842040e-03,2.751826367203096240e-03,6.908775435787371799e-02
1.871442963175407592e-01,5.992258447328614734e-02,5.782078436331861658e-03,6.672332050615531300e-03,1.847884580754192430e-01
1.149751897461240985e-01,9.688062657040216741e-02,7.853259131439053672e-03,5.377464077088153771e-03,1.191363259920919654e-01
7.902485614652556001e-02,7.564212773398756862e-02,6.918371769219530502e-03,4.324398482628017543e-03,7.912383025295548211e-02
7.202679040217178918e-02,3.757619921637936344e-02,3.808761856721052958e-03,3.276667596145376154e-03,7.368297067492403374e-02
6.990185614928925983e-02,9.693356803057065485e-02,4.658384758629877456e-03,4.006472422397061410e-03,6.660248891762492185e-02
4.708053342352745002e-02,7.536055271947707246e-02,3.276121236024095128e-03,2.997329010148575956e-03,4.347698390665764856e-02
3.916296923165011462e-02,6.906355743318476348e-02,5.172616131508063660e-03,3.025646642804659218e-03,4.152684939926346019e-02
5.593323633050657079e-02,6.606934425320812321e-02,3.991890603666599889e-03,3.357857787823245125e-03,5.507825805617568710e-02
4.653279366703053088e-02,6.169598503814636287e-02,3.631312227744707029e-03,2.712456183582307150e-03,4.453179004392058410e-02
3.711547946795976799e-02,1.250918171516900157e-02,2.858862609727187351e-03,1.717730806523675748e-03,3.821880564056698293e-02
