# anmx, denit, nitox, dnrn
2.091534429177211329e+00,8.972806055741430753e-02,4.900611096759026708e+01,4.881262654267511181e+01
1.888993552068844034e-02,2.273563880256494578e-03,5.486912210235125542e+01,4.510971439824778173e+01
2.280486949898194382e+01,2.263425401112565183e+01,2.237113630873457826e+00,5.232376285901886348e+01
4.805224341634576568e+00,1.153638240500254497e+01,3.159795504255341925e+01,5.206043821080945122e+01
8.251523805288858426e+00,9.481252438959845819e+00,3.323330563039784380e+01,4.903391812535333116e+01
1.405041368728979556e+00,8.975561227695246780e-01,4.612454552489081294e+01,5.157285698361079795e+01
2.110697417008614796e+00,1.912308543326516563e+00,4.548829023443075670e+01,5.048870380523411683e+01
6.425413811428523303e+00,6.493525036176940546e+00,3.291917241066587252e+01,5.416188874172865297e+01
5.789211566865074765e+00,3.175561621326290940e+00,4.047410989608759735e+01,5.056111691572092326e+01
2.181636754284740576e+00,9.770497685162464752e-01,4.646324859299244991e+01,5.037806488420634565e+01
7.465762087790410284e+00,1.772067419050857850e+01,2.292213886033162140e+01,5.189142486136950083e+01
7.079818134034333355e+00,8.236375784231851682e+00,3.488385509558112574e+01,4.979995098615248850e+01
6.103291903491841808e+00,4.290462200041327279e+00,4.017049850906929009e+01,4.943574738739778240e+01
3.868570457341461655e+00,3.316827515550916150e+00,4.291581240409842479e+01,4.989878962300930709e+01
5.854626402279697217e+00,5.606449067460331115e+00,3.888204779400375344e+01,4.965687673625639320e+01
1.949931215386881300e+00,1.731938133286494708e-01,4.859658229505961202e+01,4.928029267622478216e+01
