# DNRN, Anammox, Denitrificatio, Nitrite Oxidation, CaCO3 Dissolution 
3.688692999878794010e-02,3.793379644879480046e-03,4.631721515861397104e-03,3.443241388030195745e-03,3.975995760409976876e-02
6.067916911727196799e-02,6.213320953410808893e-04,4.215951575672788635e-04,5.399536879716559067e-03,6.555439920690486755e-02
3.825584417888693023e-02,1.297458527114007387e-01,2.231489533327197378e-02,1.281279622215546893e-02,1.275394630397836404e-01
1.297526351461678884e-01,4.086607895289510323e-02,4.225565519476988038e-03,1.076081130519974081e-02,1.466333747558610789e-01
8.673543111402685912e-02,3.404003940671548184e-02,4.459381413599815963e-03,7.231890436166241512e-03,9.362732938585825726e-02
6.124281710916978233e-02,1.086633323592507520e-02,2.286731096675778674e-03,5.090019447453381952e-03,6.675184650766770311e-02
1.641207266194656400e-01,2.193393795201247290e-02,5.590714532186466003e-03,1.344800225622783639e-02,1.765587878663728016e-01
9.793786730989080536e-02,3.768596523420955635e-02,7.233510644259766482e-03,8.168979509896272598e-03,1.147063743134798669e-01
6.466853541639300262e-02,2.768725185099510031e-02,6.511946808822870886e-03,5.526091226196042268e-03,7.784268251047260501e-02
6.395654772909441232e-02,1.378130590694256856e-02,3.540464269252950776e-03,5.417050358654420909e-03,7.081021662103514913e-02
4.520948163253752511e-02,3.648429535597703249e-02,4.337521956874983327e-03,3.851900980026175779e-03,6.284352270560919496e-02
2.631870303462351124e-02,2.816760086454478049e-02,3.030125002974220529e-03,2.304354052057230699e-03,4.227477154861997849e-02
2.165732087116937696e-02,2.560158612669726982e-02,4.877195096663185236e-03,1.959887920740842077e-03,4.029768149547332395e-02
4.195556569935370017e-02,2.370342992961440437e-02,3.803688418775868097e-03,3.576478169837558202e-03,5.308863205085463666e-02
3.142738318071389148e-02,2.264935548290938558e-02,3.365350954260881277e-03,2.633108821727305881e-03,4.286008278346729872e-02
3.343387737427189199e-02,4.134537671318304526e-03,2.755773841229628048e-03,2.862614940437137757e-03,3.664837965239358536e-02
