# anmx, denit, nitox, dnrn
8.273759095551995735e-01,1.470983513094004935e-01,9.303827385324432431e-01,4.638064049630396535e-01
9.338465209527868627e-02,3.025929156146910451e-02,1.021093668248134412e+00,1.006512095171664845e+00
6.292296685099865172e+00,9.807863839510657655e+00,1.373114152767715979e+01,4.906655112856395107e+00
2.819412161379821757e+00,5.787724668367105529e+00,7.477753856536902610e+00,3.548880046665553234e+00
9.498830402910566351e-01,1.679592010793035994e+00,1.707998879928518399e+00,4.260602485045237309e-01
6.067575187398176473e-01,6.211942746327457909e-01,1.026473147994092505e+00,5.032257872083385486e-01
1.388419745200420774e+00,1.519721122088717458e+00,2.450491462491554806e+00,1.291487707950284225e+00
2.038921086539126293e+00,2.332933705342175479e+00,3.233591587945074508e+00,1.187072762443085683e+00
1.644904974663401909e+00,1.475442725331920890e+00,2.278590407378285221e+00,8.748010513779240771e-01
9.314105708494982983e-01,7.782106593851192411e-01,1.469353014016853809e+00,7.477192437153278304e-01
9.986077064811349491e-01,1.781655941243926566e+00,1.708326536578443022e+00,4.970470981569272695e-01
7.997632766677756910e-01,1.544325803818889842e+00,1.398145838866128532e+00,4.234288849804382360e-01
1.256917955467560910e+00,1.388740780286522147e+00,1.805056470899778720e+00,5.566431714002096909e-01
9.849906768726010009e-01,1.294212906442854472e+00,1.622250454288764798e+00,5.648964342241005188e-01
8.823715767909012797e-01,1.260175685383185806e+00,1.380451376000796149e+00,3.922639338368896222e-01
7.103450242572021400e-01,2.245165589210387502e-01,8.503876596159276602e-01,4.151753625068295706e-01
