# anmx, denit, ox, red, nitox, dnrn, caco3 diss, other DIC
9.869720029069917189e+01,1.302799709300736186e+00,9.836151436811340432e+01,1.638485631886521965e+00,5.004838230470644334e+01,4.995161769529355666e+01,3.910470004761632978e+00,9.608952999523836525e+01
9.585824633041035270e+01,4.141753669589654407e+00,9.998026941087194075e+01,1.973058912808672155e-02,5.200945151420794588e+01,4.799054848579207544e+01,2.667070673222474397e+01,7.332929326777528445e+01
3.444327969436454850e+01,6.555672030563542307e+01,3.996354634702224473e+01,6.003645365297751368e+01,2.393734711463315890e+01,7.606265288536690150e+01,7.927628003006495838e+00,9.207237199699352459e+01
4.219721553056816532e+01,5.780278446943187021e+01,8.918656024184765840e+01,1.081343975815224034e+01,4.629806318950350175e+01,5.370193681049645562e+01,5.915265558944204827e+01,4.084734441055778831e+01
6.183549089000099030e+01,3.816450910999898838e+01,8.905951638697246153e+01,1.094048361302779959e+01,4.737178181806165611e+01,5.262821818193823731e+01,1.548187664424213317e+01,8.451812335575837665e+01
7.893231810224588685e+01,2.106768189775413802e+01,9.832373113471989257e+01,1.676268865280176490e+00,4.900715246408742587e+01,5.099284753591255281e+01,3.730357802996849159e+01,6.269642197003182815e+01
6.841348749904025794e+01,3.158651250095967455e+01,9.730170487486397235e+01,2.698295125136249251e+00,4.909407122750272379e+01,5.090592877249728332e+01,2.803389501040505039e+01,7.196610498959493896e+01
6.365257078265057800e+01,3.634742921734945043e+01,9.214235645607527658e+01,7.857643543924849538e+00,4.652705530848117377e+01,5.347294469151889018e+01,3.756915939770743762e+01,6.243084060229252685e+01
7.952407561802570513e+01,2.047592438197473186e+01,9.408411865188858769e+01,5.915881348111714289e+00,4.824169974210307998e+01,5.175830025789698396e+01,3.369235336483085064e+01,6.630764663516923463e+01
8.310998082057245995e+01,1.689001917942748676e+01,9.777492176788824452e+01,2.225078232111848742e+00,4.930575622529109836e+01,5.069424377470893006e+01,3.750574282895124867e+01,6.249425717104868028e+01
4.162641446932175882e+01,5.837358553067829803e+01,8.621369375702798266e+01,1.378630624297205287e+01,4.570994603407770285e+01,5.429005396592219057e+01,1.691004017013489857e+01,8.308995982986537854e+01
6.138961877095084674e+01,3.861038122904914616e+01,9.024162243662034655e+01,9.758377563379346142e+00,4.747517753395558771e+01,5.252482246604441940e+01,3.340926072855314999e+01,6.659073927144690686e+01
7.255038456612751929e+01,2.744961543387254110e+01,9.287687099154608461e+01,7.123129008453700450e+00,4.831753918849882012e+01,5.168246081150113724e+01,3.583963225716571799e+01,6.416036774283433886e+01
7.218464281557074003e+01,2.781535718442937366e+01,9.509675382367900909e+01,4.903246176321081506e+00,4.878112590456762376e+01,5.121887409543234781e+01,3.574260814179712753e+01,6.425739185820305011e+01
6.618965328434252626e+01,3.381034671565742400e+01,9.239898439826828280e+01,7.601015601731662130e+00,4.811613207614111332e+01,5.188386792385886537e+01,3.570791209139839850e+01,6.429208790860167255e+01
9.701012367899491551e+01,2.989876321004953041e+00,9.837801070081563637e+01,1.621989299184603439e+00,4.986593264659816782e+01,5.013406735340183928e+01,3.699667536808445334e+01,6.300332463191561061e+01
