# DNRN, Anammox, Denitrificatio, Nitrite Oxidation, CaCO3 Dissolution 
8.892596223277576817e-01,6.119854307302592970e-04,4.542029673513264636e-03,7.219095600333524931e-02,3.339540656466594148e-02
7.037299461435236880e-01,1.552901310299921193e-05,4.225541274948761136e-05,6.178581879083823447e-02,2.344264506397867043e-01
5.506931458564517934e-01,3.334281125363467435e-01,2.786859765583521442e-02,1.694272677263415974e-02,7.106741717873286956e-02
3.761945193962728529e-01,3.515078402528865748e-02,3.145102658939831399e-03,2.736530965806620655e-02,5.581442842614343647e-01
7.371859244419949331e-01,6.051875435619379073e-02,1.290060013876348499e-02,5.386814826459751515e-02,1.355265727984526491e-01
6.087473576849973256e-01,4.957626959303182597e-03,2.079075652401981503e-03,4.742313876060421513e-02,3.367928009426939262e-01
6.791869722379991758e-01,1.036423988753871518e-02,3.282470177729176434e-03,5.331809638976622162e-02,2.538482213069663818e-01
5.795126639182136552e-01,3.075307455549280630e-02,7.392077725793875023e-03,4.109887921260706872e-02,3.412433045878905946e-01
6.266415074975378863e-01,1.747043293770230571e-02,8.142372516518624898e-03,4.738114853405674815e-02,3.003645385141837654e-01
6.059677512867228666e-01,5.498938386790649079e-03,3.074098439554158631e-03,4.778203446417683686e-02,3.376771774227565470e-01
6.960498386947977512e-01,9.695748651508140359e-02,9.456748197854048313e-03,4.752391744240984373e-02,1.500120091498592101e-01
6.027425343766912302e-01,4.551420998394481443e-02,9.189783132851590819e-03,4.414616101208745230e-02,2.984073114944232330e-01
6.006843997883586361e-01,2.552924685944043051e-02,8.501252007166561556e-03,4.549992680074650686e-02,3.197851745442844562e-01
6.088596565279545958e-01,1.845982781181637611e-02,5.614089430998184249e-03,4.699513919873984230e-02,3.200712870304893154e-01
5.963248238350949970e-01,3.139338129019100115e-02,7.897662837083742338e-03,4.480994441876078038e-02,3.195741876188715191e-01
6.151952319044151629e-01,9.493622329429268107e-04,2.983678438706254508e-03,4.957469473526348452e-02,3.312970326886719996e-01
