# DNRN, Anammox, Denitrificatio, Nitrite Oxidation, CaCO3 Dissolution 
4.205174836453492299e-02,7.114611842336220592e-03,4.902364625460165631e-03,2.764486525128630277e-03,4.365769834185610071e-02
6.373635798111641770e-02,2.832888854085302143e-04,4.777998869408135426e-04,3.936472025401919171e-03,6.683067336938146308e-02
5.680522726523255794e-02,1.261805963516808848e-01,1.994665976669298194e-02,5.776661259315559252e-03,1.304709286456773587e-01
1.297920977909944873e-01,7.011444456741015852e-02,4.262229850942044450e-03,7.333500931560804799e-03,1.422616724709187819e-01
1.006043021897848888e-01,6.057684156620957161e-02,4.717328364532625239e-03,5.627444072392545626e-03,9.870398468122688895e-02
6.596281134204273755e-02,1.879547900246706857e-02,2.321868492472634656e-03,3.524272917501237914e-03,6.907007722934550842e-02
1.770143458449439655e-01,3.801803980095248142e-02,5.735277739174864976e-03,8.950335661628462322e-03,1.820885788198341459e-01
1.050557941742147477e-01,6.565305458060043120e-02,7.630791003093546736e-03,6.106426668834348884e-03,1.179487847997971600e-01
6.894081666388870988e-02,4.979889880394707674e-02,6.804000693432021157e-03,4.469886200133582621e-03,7.980427311886881259e-02
6.835632948443025325e-02,2.494333604637800558e-02,3.706731172053678598e-03,3.926744295510904183e-03,7.297934583229916117e-02
5.205185844212246310e-02,6.430536470824442519e-02,4.551062540443227313e-03,3.753235875719771603e-03,6.587838749661845128e-02
2.983829954595378434e-02,4.926678853454966728e-02,3.195641396035673373e-03,2.560042601150166325e-03,4.312971618410271074e-02
2.350873912865445933e-02,4.563510036246793550e-02,5.084720324001478463e-03,2.563672756649971324e-03,4.127838512618537542e-02
4.550177486027864177e-02,4.224384239374012751e-02,3.928788181761690666e-03,3.212293486938848797e-03,5.468639322032971262e-02
3.433237911197827702e-02,3.998148252346060000e-02,3.472549031869495879e-03,2.475874424048086445e-03,4.377560619088139565e-02
3.546694253052588841e-02,8.170095391285466316e-03,2.833070958386209402e-03,2.075293374940568366e-03,3.755285964250235087e-02
