# anmx, denit, nitox, dnrn
1.394446368363607025e+00,4.812058184710982234e-02,4.934051664277211557e+01,4.921691640701730108e+01
1.575554846408786305e-02,2.015116205597596954e-04,5.333774491898726922e+01,4.664629802092800759e+01
1.453656664384204866e+01,2.850041276455621286e+01,4.740006654984648904e+00,5.222301393661700075e+01
2.610540587797939516e+00,7.803307265004804982e+00,3.844519621650017882e+01,5.114095593069744439e+01
5.029573124438843301e+00,5.424948016650167126e+00,4.014203918362553480e+01,4.940343967528562530e+01
9.040099001974689630e-01,5.148226815193079897e-01,4.759440485294108214e+01,5.098676256534211859e+01
1.336462746348185071e+00,1.101880668875225178e+00,4.727599815390513527e+01,5.028565843087147869e+01
3.807531953486574583e+00,3.592456150909962176e+00,4.015459011486149166e+01,5.244542178074210170e+01
3.661194683153073726e+00,1.859355710169065867e+00,4.415716240849926066e+01,5.032228719817860707e+01
1.424989542728260838e+00,6.050500983989804960e-01,4.773275417823666089e+01,5.023720618063598664e+01
4.147694089870834766e+00,9.472524770645438963e+00,3.534508783493395612e+01,5.103469330454969111e+01
4.336705373181264811e+00,4.821340626917312022e+00,4.098258197461339591e+01,4.985937202528833012e+01
3.865840727124696397e+00,2.601794459633275824e+00,4.389236611021493673e+01,4.963999870302706796e+01
2.505779541525538612e+00,1.909015097272612094e+00,4.568281072974296109e+01,4.990239463145896792e+01
3.670894548023822423e+00,3.320494127942363427e+00,4.322331386477355863e+01,4.978529745926027061e+01
1.298348156634508754e+00,1.096985241866912236e-01,4.906331218099742841e+01,4.952864113818142044e+01
