# NO3, NO2, NH4, Nstar, TA, DIC
7.864935421768113599e+01,2.819643750427392206e+03,1.507273448014699688e+14,1.986566100538590263e+01,1.254587326054738305e+01,9.862238083776453834e+00
5.354535026330025005e+01,1.987761385548759426e+04,inf,1.002605478664633409e+02,6.244481346700844426e+00,7.944611129239777192e+00
3.712469653698084215e+01,7.377703657951418563e+02,9.882115783917628869e+04,2.935631251134675423e+01,2.322720510592709431e+01,6.121980781089391144e+00
1.230690817194673770e+01,5.531322608415230206e+02,3.427544621914340556e+07,4.042087912340625167e+01,3.266954517861557328e+00,3.388478491675790849e+00
9.395327722028735451e+00,2.157705262119629879e+03,4.811937449639119222e+03,1.707306589596056412e+01,7.376783897142128232e+00,8.294023652325268614e+00
1.935089892136406675e+01,2.971762133880971390e+01,4.757983329296188458e+04,8.017539197794756092e+02,4.872411475146456006e+00,5.953363331520581170e+00
3.279069589871455292e+01,2.000979103306387117e+02,8.686850475064738930e+03,1.668139132201115444e+02,3.484223117408383086e+00,6.962463965184101156e+00
2.473188365601184380e+00,2.096564813928072724e+01,2.760320784102279958e+03,6.903373163329619366e+00,5.760359664522259671e+00,5.795799440650868384e+00
5.003100469744509127e+01,7.965954770203185831e+01,3.932759520797993900e+04,1.252110238147383647e+01,7.142274111609908438e+00,7.019733891944220261e+00
7.858227455155045504e+01,7.150403170117921547e+01,5.285049807895792037e+04,8.582647597400446671e+01,5.661740268563852929e+00,6.268169443704577404e+00
3.938270490826678571e+00,1.609355430251070018e+01,5.657951198134752485e+04,7.857928364469260352e+00,6.512376093238867014e+00,6.286338381309986012e+00
6.432044023244365860e+00,1.525499142283153446e+02,2.120712980944001902e+04,1.304015983960366221e+01,6.782101740197004069e+00,6.481768917896038928e+00
1.987440542112218012e+01,4.289431301864248667e+02,1.404732218390514572e+04,1.452835522735291285e+01,7.194847305772126056e+00,6.787054594750729919e+00
2.090506334900793739e+00,1.420727014187902205e+04,6.863196482753483520e+17,3.352206538342227482e+00,6.510817489001090586e+00,6.505455271126963979e+00
2.463063617732597965e+00,4.842903887065086365e+08,8.283851494592518400e+16,1.101184268435249258e+01,6.707299151874511089e+00,6.494440609067658521e+00
1.141411666805794027e+02,3.672842245553253253e+21,6.998346873184862733e+07,2.851224831043951013e+01,5.913746504616462119e+00,6.568819788179282249e+00
