# NO3, NO2, Nstar, TA, DIC
-5.472811714841521180e-01,3.477917837925816325e-01,-4.651032625943383181e-01,5.310579896054150595e-01,9.999999999998863132e-01
-4.436549919392032137e-01,4.507166034580674108e-01,-1.903570592198247091e-01,2.354388682221042473e-01,1.000000000000028422e+00
-3.170348837208099013e-01,2.220644606774261343e-01,-1.731066336470625799e-01,2.566687920900676545e-01,9.999999999998863132e-01
-6.992230820331096774e-01,1.599198539252371376e-01,-7.569360545404772989e-01,-4.377325694288600744e-01,1.000000000000142109e+00
-2.409887005649630765e-01,7.348076474852113793e-02,-3.346777974894386554e-01,5.845519494518214287e-02,9.999999999999289457e-01
-3.370367765546866679e-02,-3.108150071092519173e-02,-1.775596004847175280e-01,4.360478282238204883e-01,9.999999999999715783e-01
3.877611664668606517e-01,-8.826052699351193132e-02,5.771395976248430704e-02,4.327167254131758511e-01,1.000000000000007105e+00
3.663522489141702865e-01,-5.123798765329951044e-02,1.333277389517753264e-01,7.954565671859441522e-01,1.000000000000017764e+00
