# anmx, denit, ox, red, nitox, dnrn, caco3 diss, other DIC
3.467788648529060680e+01,3.467788648529059969e+01,1.417111149935365688e+01,1.417111149935365155e+01,6.816576618475163940e+00,6.816576618475163052e+00,1.165122334648765623e+01,1.165122334648767577e+01
3.587837993887371368e+01,3.587837993887369947e+01,8.472009516867091250e+00,8.472009516867091250e+00,3.816201039156720043e+00,3.816201039156720931e+00,7.388436466884486187e+00,7.388436466884493292e+00
4.319456859960234141e+01,4.319456859960232009e+01,1.134417825801514645e+01,1.134417825801514290e+01,4.943847392336163438e+00,4.943847392336158997e+00,9.231316162770314193e+00,9.231316162770346168e+00
0.000000000000000000e+00,0.000000000000000000e+00,7.021705794284134328e+00,7.021705794284132551e+00,4.024108134782391488e+00,4.024108134782392376e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.884919089834024675e+01,1.884919089834028227e+01,5.949500669772756822e+00,5.949500669772748829e+00,2.264274899484518322e+00,2.264274899484521875e+00,1.246259351208679034e+00,1.246259351208692578e+00
4.178373987207992002e+01,4.178373987207993423e+01,4.258990008367105951e+00,4.258990008367093516e+00,1.344903555088087455e+00,1.344903555088087677e+00,4.847300412354087484e+00,4.847300412354089261e+00
nan,nan,0.000000000000000000e+00,0.000000000000000000e+00,1.213319035813606311e-01,1.213319035813607005e-01,5.524636996943556033e-01,5.524636996943552703e-01
nan,nan,0.000000000000000000e+00,0.000000000000000000e+00,1.715686721328856801e-01,1.715686721328862352e-01,5.636717702172160394e-01,5.636717702172171496e-01
