# DNRN, Anammox, Denitrification, Nitrite Oxidation, CaCO3 Dissolution 
1.094082534507298948e-01,1.099714872881062955e-01,9.698621171692066098e-03,4.515704324857000400e-03,1.092206658999731045e-01
7.766171896098394978e-02,5.492664012052935613e-02,6.142258661197079993e-03,3.986447325174375007e-03,7.032944288063920635e-02
1.044859099796787288e-01,8.189504962076145367e-02,7.977212444268492672e-03,5.485045369626172576e-03,8.769139014408552923e-02
6.666900415394112246e-03,0.000000000000000000e+00,8.387523019251176201e-03,3.133928161068225398e-03,0.000000000000000000e+00
2.573816415140266559e-02,2.725277925988270691e-02,7.889424771799852243e-03,2.775883864322195235e-03,1.139534036979075911e-02
3.995776843598015937e-02,5.376998501242800238e-02,5.278914237542652217e-03,2.188112714798516687e-03,4.494573457734030858e-02
5.050923357022666337e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.321342933705616732e-04,5.224997843267034647e-03
5.294151815626741905e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.540639978587381402e-04,5.479860532550561401e-03
