# NO3, NO2, NH4, Nstar, TA, DIC
7.897985527821471408e+01,2.723548328776938888e+03,1.537006677412171250e+14,1.500143267169325156e+01,1.052119617922383554e+01,1.170064480493346259e+01
5.450575923487841123e+01,1.946372062691971951e+04,inf,1.002496036768940399e+02,7.299336484613605514e+00,9.411959482985755798e+00
2.779904761717186190e+01,1.035084564031868013e+03,9.614972243271709885e+04,2.246946619578372761e+01,1.190986247142565091e+01,6.546769146569750397e+00
1.373675493441545647e+01,5.071139026686874445e+02,3.413911437215950340e+07,3.971545082924812675e+01,4.139481762094065154e+00,4.302923820220971862e+00
6.963484419997286956e+00,2.088525626672857925e+03,4.673467111616902912e+03,1.875861962329802424e+01,1.024200131348621312e+01,1.004079487159072670e+01
1.907042877480120069e+01,2.839269553170743876e+01,4.698757274220617546e+04,8.266591781415110063e+02,6.546078770364220922e+00,7.301264606936832102e+00
3.261282443111074514e+01,1.924374857161831187e+02,8.470139320883887194e+03,1.681948049766835425e+02,4.366203433076554674e+00,8.431345265312179649e+00
1.093335939984627636e+00,2.175415414758366239e+01,2.457508695488267222e+03,5.207048602214407573e+00,6.875750146236267568e+00,7.100246565623304029e+00
4.820815263395783745e+01,7.738304810318966531e+01,3.586299504841840826e+04,1.447212102576034631e+01,8.739100013463929173e+00,8.405598178408951071e+00
7.050553174340333840e+01,7.361287173158687835e+01,5.387362209896501736e+04,7.945712260541429828e+01,6.941606061888118795e+00,7.579270273797718005e+00
5.992770790461992014e+00,1.915863850253511202e+01,5.654450309097586432e+04,9.385209314531524072e+00,8.144277988353639586e+00,8.029039313244794585e+00
4.997836733422132305e+00,1.522498838926184135e+02,2.129233058904209611e+04,1.388574127829924265e+01,8.297230915797250361e+00,7.900882583212573529e+00
1.774220760557519938e+01,4.170675545238476047e+02,1.356746816123625831e+04,1.596034186699142410e+01,8.373015429926180531e+00,8.125846020954508475e+00
1.681200479318476271e+00,1.304145044725704793e+04,6.856095284461998080e+17,4.092031990721261892e+00,7.621193446390202020e+00,7.846323286455708867e+00
1.018110325447075581e+00,4.769809811300129890e+08,8.033175268137248000e+16,1.206789300008468580e+01,7.953273231731052384e+00,7.847654483235610989e+00
1.115020215345411430e+02,3.683181555381739454e+21,7.041229262176385522e+07,2.645999648723138620e+01,7.319052176731606352e+00,7.892972266465882569e+00
